TOWN,ADDRESS,INTERSECTING STREET,DATE CLASSIFIED,LEAK GRADE,unrepaired leaks at the start of the year,2629
SHREWSBURY,29 FOX HILL,,11-Sep-2015,3,,
WORCESTER,15 SOUTHER,,11-Sep-2015,3,,
NEW BEDFORD,229 HERSOM,,14-Sep-2015,3,,
SHERBORN,30 MCGREGOR,,14-Sep-2015,3,,
FRAMINGHAM,37 LYMAN,,15-Sep-2015,3,,
FRAMINGHAM,42 CENTRAL,,15-Sep-2015,2,,
MARLBORO,630 HEMENWAY,,15-Sep-2015,3,,
SOMERVILLE,15 WESTON,,15-Sep-2015,3,,
WORCESTER,EUNICE,CLARK ST,15-Sep-2015,3,,
WORCESTER,TRIANGLE,E. MOUNTAIN ST,15-Sep-2015,3,,
MARLBORO,51 BOUFFARD,,16-Sep-2015,3,,
MARLBORO,55 BOUFFARD,,16-Sep-2015,3,,
MARLBORO,46 MELODY,,16-Sep-2015,3,,
SHERBORN,3 DOPPING BROOK,,16-Sep-2015,3,,
SHERBORN,WESTERN,@ DOPPING BROOK RD,16-Sep-2015,3,,
WORCESTER,16 TARRYTOWN,,16-Sep-2015,3,,
NEEDHAM,88 STANDISH,,17-Sep-2015,3,,
NORTHBORO,31 HAMILTON,,17-Sep-2015,3,,
SHERBORN,57 OLD ORCHARD,,17-Sep-2015,3,,
SHERBORN,BROOK,WESTERN AVE,17-Sep-2015,2,,
SOMERVILLE,23-25 CHETWYND,,17-Sep-2015,3,,
WORCESTER,25 ASSABET,,17-Sep-2015,3,,
WORCESTER,91 NEW BOND,,17-Sep-2015,3,,
WORCESTER,12 PONIKEN,,17-Sep-2015,3,,
FRAMINGHAM,173 OAK CREST,,18-Sep-2015,3,,
KINGSTON,182 SUMMER,,18-Sep-2015,3,,
FRAMINGHAM,40 GLEASON,,21-Sep-2015,3,,
MATTAPOISETT,83 NORTH,,21-Sep-2015,3,,
MAYNARD,2 HIGH,,21-Sep-2015,3,,
NEW BEDFORD,226 IRVINGTON,,21-Sep-2015,3,,
NEW BEDFORD,251-258 IRVINGTON,,21-Sep-2015,3,,
NEW BEDFORD,ORCHARD,,21-Sep-2015,3,,
SOMERVILLE,14 BILLINGHAM,,21-Sep-2015,3,,
FRAMINGHAM,29 FOSTER,,22-Sep-2015,3,,
FRAMINGHAM,1 QUINLAN,,22-Sep-2015,3,,
MAYNARD,GREAT,@ HAYES ST,22-Sep-2015,3,,
MAYNARD,1 MCKINLEY,,22-Sep-2015,3,,
NEW BEDFORD,498 CHURCH,,22-Sep-2015,3,,
NEW BEDFORD,562 CHURCH,,22-Sep-2015,3,,
NEW BEDFORD,CHURCH,@ TARKILN HILL RD,22-Sep-2015,3,,
NEW BEDFORD,CHURCH,NORTH OF CARLISE ST,22-Sep-2015,3,,
SHREWSBURY,12 CHECKERBERRY,,22-Sep-2015,3,,
SOMERVILLE,37 MOORE,,22-Sep-2015,3,,
WORCESTER,26 NAVASOTA,,22-Sep-2015,3,,
MAYNARD,22 GEORGE,,23-Sep-2015,3,,
MAYNARD,3 PATTI,,23-Sep-2015,3,,
MAYNARD,9 PATTI,,23-Sep-2015,3,,
MAYNARD,PATTI,@ MICHAEL RD,23-Sep-2015,3,,
MAYNARD,8 SUNSET,,23-Sep-2015,3,,
MENDON,31 HASTINGS,,23-Sep-2015,3,,
SHREWSBURY,296 VEGA,,23-Sep-2015,3,,
MAYNARD,BROOKS,@ LINCOLN ST,24-Sep-2015,3,,
WORCESTER,BELMONT,FOUNTAIN ST,24-Sep-2015,3,,
FRAMINGHAM,WINTER,@ SALEM END RD,25-Sep-2015,3,,
FRAMINGHAM,653 WORCESTER,,25-Sep-2015,2,,
FRAMINGHAM,WORCESTER,@ MAIN ST,25-Sep-2015,2,,
MARLBORO,HOSMER,EAGER CT,25-Sep-2015,3,,
ASHLAND,76 CHESTNUT,,28-Sep-2015,3,,
FRAMINGHAM,21 CHARLES,,28-Sep-2015,3,,
FRAMINGHAM,39 WINTER,,28-Sep-2015,2,,
SOMERVILLE,42 BENTON,,28-Sep-2015,3,,
FRAMINGHAM,38 ANGELICA,,29-Sep-2015,3,,
NEW BEDFORD,9 HOLDEN,,29-Sep-2015,3,,
SHREWSBURY,12 HOLMAN,,29-Sep-2015,3,,
SOMERVILLE,11 HALL,,29-Sep-2015,3,,
SOMERVILLE,29 KIDDER,,29-Sep-2015,3,,
WORCESTER,294 MILLBURY,,29-Sep-2015,3,,
WORCESTER,PLANTATION,@ AITCHISON ST,29-Sep-2015,3,,
HOLLISTON,106 DONNA,,30-Sep-2015,3,,
HOLLISTON,NORFOLK,SABRINA ST,30-Sep-2015,3,,
MARLBORO,150 LEOLEIS,,30-Sep-2015,3,,
WORCESTER,66 TROWBRIDGE,,30-Sep-2015,3,,
MARLBORO,INDIAN,@ SETTLERS LN,01-Oct-2015,3,,
MARLBORO,29 TECUMSEH,,01-Oct-2015,3,,
SHERBORN,22 MEADOWBROOK,,01-Oct-2015,3,,
STOW,80 GLEASONDALE,,01-Oct-2015,2,,
WORCESTER,54 MIDLAND,,01-Oct-2015,3,,
CAMBRIDGE,90 CLARENDON,,02-Oct-2015,3,,
FAIRHAVEN,105 PLEASANT,,02-Oct-2015,3,,
FAIRHAVEN,372 SCONTICUT NECK,,02-Oct-2015,3,,
HOLLISTON,CONCORD,@ HIGH ST,05-Oct-2015,3,,
HOLLISTON,JENNINGS,CONCORD ST,05-Oct-2015,3,,
UXBRIDGE,239 NORTH MAIN,,05-Oct-2015,3,,
WORCESTER,MINTHORNE,,05-Oct-2015,3,,
NEW BEDFORD,OPP 69 MARY,,06-Oct-2015,3,,
SOMERVILLE,31 DIMICK,,06-Oct-2015,3,,
WORCESTER,86 MOORE,,06-Oct-2015,3,,
FRAMINGHAM,40 AGNES,,07-Oct-2015,2,,
HOLLISTON,248 ASHLAND,,07-Oct-2015,3,,
HOLLISTON,58 ROBERT,,07-Oct-2015,3,,
MARLBORO,FARRINGTON,@ HAWKINS  LN,07-Oct-2015,3,,
MARLBORO,85 VICTORIA,,07-Oct-2015,3,,
SOMERVILLE,UNION,,07-Oct-2015,2,,
SOUTHBORO,11 CHERRY,,07-Oct-2015,3,,
SOUTHBORO,6 CHERRY,,07-Oct-2015,3,,
WORCESTER,257 MOWER,,07-Oct-2015,3,,
WORCESTER,265 MOWER,,07-Oct-2015,3,,
CAMBRIDGE,MAIN,@ PORTLAND ST,08-Oct-2015,3,,
WORCESTER,160 GODDARD MEMORIAL,,08-Oct-2015,3,,
MARLBORO,281 WASHINGTON,,09-Oct-2015,3,,
CAMBRIDGE,MASSACHUSETTS,@ HUDSON ST,13-Oct-2015,2,,
HOLLISTON,535 PRENTICE,,13-Oct-2015,3,,
HOLLISTON,PROSPECT,@ MARKED TREE RD,13-Oct-2015,3,,
MARLBORO,59 LILAC,,14-Oct-2015,3,,
SOUTHBORO,18 MAIN,,14-Oct-2015,3,,
MARLBORO,445 PARMENTER,,15-Oct-2015,3,,
NEW BEDFORD,4588 ACUSHNET,,15-Oct-2015,3,,
SOMERVILLE,150 HUDSON,,15-Oct-2015,3,,
WORCESTER,MASSASOIT,@ ROUTE 20,15-Oct-2015,3,,
NEW BEDFORD,HEMLOCK,,16-Oct-2015,3,,
SOMERVILLE,SUMMER,@ CHERRY ST,16-Oct-2015,3,,
MARLBORO,27 MACKAY,,19-Oct-2015,3,,
WORCESTER,585 PARK,,19-Oct-2015,3,,
WORCESTER,SUNDERLAND,@ ROUTE 20,19-Oct-2015,3,,
SOUTHBORO,10 BLDG 30 VILLAGE,,20-Oct-2015,3,,
MARLBORO,32 RUTH,,21-Oct-2015,3,,
WORCESTER,306 PLANTATION,,21-Oct-2015,3,,
WORCESTER,17 PLEASANT,,21-Oct-2015,3,,
WORCESTER,PLEASANT,@ WINSLOW ST,21-Oct-2015,3,,
MARLBORO,FARM,,22-Oct-2015,3,,
MAYNARD,216 MAIN,,22-Oct-2015,3,,
MILFORD,29 PURDUE,,22-Oct-2015,3,,
WORCESTER,88 ELM,,22-Oct-2015,3,,
WORCESTER,624 SALISBURY,,22-Oct-2015,3,,
WORCESTER,54 CEDAR,,23-Oct-2015,3,,
WORCESTER,CEDAR,@ RUSSELL ST,23-Oct-2015,3,,
WORCESTER,208 CHANDLER,,26-Oct-2015,3,,
WORCESTER,74 CHANDLER,,26-Oct-2015,3,,
WORCESTER,90 HOLDEN,,26-Oct-2015,3,,
WORCESTER,4 PAUL REVERE,,26-Oct-2015,3,,
WORCESTER,6 PAUL REVERE,,26-Oct-2015,3,,
DEDHAM,OPP 50 BRIDGE,,27-Oct-2015,3,,
DEDHAM,NEEDHAM,,27-Oct-2015,3,,
WORCESTER,4 OLD COLONY,,27-Oct-2015,3,,
WORCESTER,970 PLEASANT,,27-Oct-2015,3,,
ASHLAND,108 WAVERLY,,28-Oct-2015,3,,
SHERBORN,18 COURSE BROOK,,28-Oct-2015,3,,
SOUTHBORO,4 RESERVOIR,,28-Oct-2015,3,,
WORCESTER,38 DIX,,28-Oct-2015,3,,
WORCESTER,59 WILLIAM,,28-Oct-2015,3,,
HOPKINTON,343 WOOD,,29-Oct-2015,2,,
MARLBORO,12 ANDREWS,,29-Oct-2015,3,,
SHREWSBURY,11 CHECKERBERRY,,29-Oct-2015,3,,
WORCESTER,20 PRUDENTIAL,,29-Oct-2015,3,,
DEDHAM,107 CHICKERING,,30-Oct-2015,3,,
FAIRHAVEN,75 MILL,,30-Oct-2015,3,,
FAIRHAVEN,MILL,ROUTE 6,30-Oct-2015,3,,
FRAMINGHAM,1 LOMAS,,30-Oct-2015,3,,
FRAMINGHAM,BELKNAP,@ WOODMERE RD,30-Oct-2015,2,,
MARLBORO,11 SIDNEY,,30-Oct-2015,3,,
NEEDHAM,83 WEBSTER,,30-Oct-2015,3,,
NEW BEDFORD,106-108 ACUSHNET,,30-Oct-2015,3,,
WORCESTER,163 AUSTIN,,30-Oct-2015,3,,
WORCESTER,61 BEECHMONT,,30-Oct-2015,3,,
DARTMOUTH,FREMONT,@ PLEASANT ST,02-Nov-2015,3,,
HYDE PARK,189 WOOD,,02-Nov-2015,3,,
MILLBURY,58 RIVERLIN,,02-Nov-2015,3,,
MILLBURY,23 LESLIE,,03-Nov-2015,3,,
WORCESTER,22 IONIC,,03-Nov-2015,3,,
WORCESTER,105 MERRICK,,03-Nov-2015,3,,
WORCESTER,45 SOMERSET,,03-Nov-2015,3,,
FRAMINGHAM,724 WATER,,04-Nov-2015,3,,
FRAMINGHAM,WATER,@ COSTA CIR,04-Nov-2015,2,,
HUDSON,127 FOREST,,04-Nov-2015,3,,
WORCESTER,BOYDEN,@ CARO ST,04-Nov-2015,3,,
WORCESTER,6 BOYNTON,,04-Nov-2015,3,,
WORCESTER,9 DEAN,,04-Nov-2015,3,,
WORCESTER,10 DENNY,,04-Nov-2015,3,,
WORCESTER,69 HAMILTON,,04-Nov-2015,3,,
WORCESTER,3 MONTVALE,,04-Nov-2015,3,,
CAMBRIDGE,113 INMAN,,05-Nov-2015,2,,
HYDE PARK,11 ALPINE,,05-Nov-2015,3,,
HYDE PARK,56 WEST MILTON,,05-Nov-2015,3,,
HYDE PARK,66 WEST MILTON,,05-Nov-2015,3,,
MARION,25 SPRING,,05-Nov-2015,3,,
WORCESTER,12 ALGONQUIN,,05-Nov-2015,3,,
WORCESTER,34 HANCOCK HILL,,05-Nov-2015,3,,
FAIRHAVEN,SOUTH SUMMER,,06-Nov-2015,3,,
HYDE PARK,184 GREENFIELD,,06-Nov-2015,3,,
NORTHBORO,292 MAIN,,06-Nov-2015,3,,
WORCESTER,421 MASSASOIT,,06-Nov-2015,3,,
MARLBORO,112 SANDINI,,09-Nov-2015,3,,
STOW,25 ELM RIDGE,,09-Nov-2015,3,,
WESTWOOD,HILLVIEW,,09-Nov-2015,3,,
WESTWOOD,MARSHALL,,09-Nov-2015,3,,
WORCESTER,1-3 ASHLAND,,09-Nov-2015,3,,
WORCESTER,2 NEWBURY,,09-Nov-2015,3,,
HYDE PARK,1127 HYDE PARK,,10-Nov-2015,3,,
MARLBORO,4202 WILLOW,,10-Nov-2015,3,,
STOW,80 GLEASONDALE,,10-Nov-2015,3,,
WORCESTER,285 SALISBURY,,10-Nov-2015,3,,
SOMERVILLE,64 UNION,,12-Nov-2015,2,,
STOW,193 GLEASONDALE,,12-Nov-2015,3,,
MARLBORO,13 BEAUREGARD,,13-Nov-2015,3,,
WORCESTER,10 IRVING,,13-Nov-2015,3,,
WORCESTER,220 SALISBURY,,13-Nov-2015,3,,
FRAMINGHAM,489 ELM,,16-Nov-2015,2,,
FRAMINGHAM,488 EDGELL,,17-Nov-2015,3,,
GRAFTON,35 GRAFTON COMMON,,17-Nov-2015,3,,
CAMBRIDGE,9 DANA,,18-Nov-2015,3,,
FRAMINGHAM,CENTRAL,@ FENWICK ST,18-Nov-2015,3,,
MARLBORO,2602 PARK VIEW,,18-Nov-2015,3,,
NEW BEDFORD,2488 ACUSHNET,,18-Nov-2015,3,,
ASHLAND,110 WEST UNION,,19-Nov-2015,3,,
ASHLAND,16 WEST UNION,,19-Nov-2015,3,,
FRAMINGHAM,411 PLEASANT,,19-Nov-2015,2,,
MAYNARD,30 HARRISON,,19-Nov-2015,3,,
WORCESTER,DEWEY,@ AUSTIN ST,19-Nov-2015,3,,
WORCESTER,138 KENBERMA,,19-Nov-2015,3,,
SOMERVILLE,108 PACKARD,,23-Nov-2015,3,,
WORCESTER,290 PARK,,23-Nov-2015,3,,
WORCESTER,292 PARK,,23-Nov-2015,3,,
FRAMINGHAM,627 GROVE,,24-Nov-2015,2,,
WORCESTER,LINCOLN,AT N. LAKE AVENUE,24-Nov-2015,3,,
CAMBRIDGE,45-47 MAPLE,,25-Nov-2015,3,,
DARTMOUTH,17 MEADOW,,25-Nov-2015,3,,
FAIRHAVEN,240 ADAMS,,25-Nov-2015,3,,
SOMERVILLE,384 HIGHLAND,,25-Nov-2015,3,,
MARLBORO,409 HEMENWAY,,27-Nov-2015,3,,
SOMERVILLE,69 PROSPECT,,30-Nov-2015,3,,
WORCESTER,26 LAURIER,,30-Nov-2015,3,,
FRAMINGHAM,15 ELM,,01-Dec-2015,3,,
FRAMINGHAM,6 NORTH,,01-Dec-2015,3,,
MARLBORO,130 ROBERT,,01-Dec-2015,3,,
MATTAPOISETT,17 BAPTIST,,01-Dec-2015,3,,
MATTAPOISETT,17 BAPTIST,,01-Dec-2015,3,,
KINGSTON,23 WINTER,,02-Dec-2015,3,,
MILFORD,41 PINE,,02-Dec-2015,3,,
FRAMINGHAM,80 NEW YORK,,03-Dec-2015,3,,
NEW BEDFORD,TARKILN HILL,@ CHURCH ST,03-Dec-2015,3,,
GRAFTON,53 LINCOLN,,04-Dec-2015,3,,
HUDSON,136 FOREST,,04-Dec-2015,3,,
KINGSTON,24 MAIN,,04-Dec-2015,3,,
MAYNARD,73 WALTHAM,,07-Dec-2015,2,,
SOMERVILLE,DANE,,07-Dec-2015,3,,
SOMERVILLE,8 FAIRFAX,,07-Dec-2015,3,,
WESTBOROUGH,21 EAST MAIN,,07-Dec-2015,3,,
ASHLAND,190 POND,,08-Dec-2015,3,,
CAMBRIDGE,PHILLIPS,@ ST. JAMES RD,08-Dec-2015,3,,
SOMERVILLE,PEARSON,,08-Dec-2015,3,,
WORCESTER,12 ALPINE,,08-Dec-2015,3,,
WORCESTER,10 LACONIA,,08-Dec-2015,3,,
WORCESTER,16 WINNIPEG,,08-Dec-2015,3,,
HYDE PARK,88 GORDON,,10-Dec-2015,3,,
NEW BEDFORD,11 PLEASANT,,10-Dec-2015,3,,
WORCESTER,100 INSTITUTE,,10-Dec-2015,3,,
WORCESTER,5 RUDOLPH,,10-Dec-2015,3,,
CAMBRIDGE,816 MEMORIAL,,11-Dec-2015,3,,
FAIRHAVEN,6 HARDING,,11-Dec-2015,3,,
HYDE PARK,22 GREENBROOK,,11-Dec-2015,3,,
SOMERVILLE,130 COLLEGE,,11-Dec-2015,3,,
SOMERVILLE,20-22 SEVEN PINES,,11-Dec-2015,3,,
DEDHAM,DALE,,14-Dec-2015,3,,
FAIRHAVEN,6 WOOD,,14-Dec-2015,3,,
FRAMINGHAM,STILLMAN,,14-Dec-2015,3,,
NATICK,24 CHURCH,,14-Dec-2015,2,,
SOMERVILLE,254 MCGRATH,,14-Dec-2015,3,,
WESTBOROUGH,OLD COLONY,@ W. MAIN ST,14-Dec-2015,3,,
FAIRHAVEN,9 MINA,,15-Dec-2015,3,,
FRAMINGHAM,79 BEACON,,16-Dec-2015,2,,
FRAMINGHAM,BEACON,,16-Dec-2015,2,,
DEDHAM,42 MANNING,,17-Dec-2015,3,,
FAIRHAVEN,SHIRLEY,,17-Dec-2015,3,,
NATICK,6 HOME,,17-Dec-2015,3,,
NATICK,13 KEANE,,17-Dec-2015,3,,
WORCESTER,93 STANDISH,,18-Dec-2015,3,,
DEDHAM,14-16 NORTH STONE MILL,,21-Dec-2015,3,,
FRAMINGHAM,1 HALLETT,,21-Dec-2015,3,,
FRAMINGHAM,171 LOCKLAND,,21-Dec-2015,2,,
DEDHAM,38 ORCHARD,,22-Dec-2015,3,,
FRAMINGHAM,105 SECOND,,22-Dec-2015,3,,
FRAMINGHAM,32B SECOND,,22-Dec-2015,3,,
HYDE PARK,784 TRUMAN,,22-Dec-2015,3,,
HYDE PARK,780 TRUMAN,,22-Dec-2015,2,,
PLYMOUTH,66 SOUTH,,22-Dec-2015,3,,
DEDHAM,2 SMITH,,23-Dec-2015,3,,
FAIRHAVEN,67 OCEAN,,23-Dec-2015,3,,
FRAMINGHAM,FENWICK,,23-Dec-2015,3,,
HYDE PARK,892 RIVER,,23-Dec-2015,3,,
MARLBORO,344 EAST BOSTON POST,,30-Dec-2015,2,,
NATICK,327 WEST CENTRAL,,30-Dec-2015,3,,
NATICK,829 WORCESTER,,30-Dec-2015,3,,
MILFORD,11 BOWDOIN,,31-Dec-2015,2,,
