ADDRESS,TOWN,INTERSECTION,ZIP,LAT,LNG,ADDRESS_TYPES,CLASSIFIED,GRADE
124 ENDICOTT,WORCESTER,,,,,,12/16/14,3
3 GILMAN,WORCESTER,,,,,,12/16/14,3
199 HOPE,WORCESTER,,,,,,12/16/14,3
205 HOPE,WORCESTER,,,,,,12/16/14,3
99 HOPE,WORCESTER,,,,,,12/16/14,3
1 KELLEY,WORCESTER,,,,,,12/16/14,3
7 KELLEY,WORCESTER,,,,,,12/16/14,3
650 LINCOLN,WORCESTER,,,,,,12/16/14,3
LINCOLN,WORCESTER,,,,,,12/16/14,3
OXFORD,CAMBRIDGE,,,,,,12/15/14,3
18 WENDELL,CAMBRIDGE,,,,,,12/15/14,3
34 WENDELL,CAMBRIDGE,,,,,,12/15/14,3
ANDREWS,FRAMINGHAM,,,,,,12/15/14,3
84 ELM,HOLLISTON,,,,,,12/15/14,3
