ADDRESS,TOWN,INTERSECTION,CLASSIFIED,GRADE
COUNTY,NEW BEDFORD,,12-Jun-14,3
COUNTY,NEW BEDFORD,,12-Jun-14,3
HAZARD,NEW BEDFORD,,12-Jun-14,3
LOCUST,NEW BEDFORD,,12-Jun-14,3
60 MERRIMAC,NEW BEDFORD,,12-Jun-14,3
38-40 PEARL,NEW BEDFORD,,12-Jun-14,3
1332 PLEASANT,NEW BEDFORD,,12-Jun-14,3
1657 WASHINGTON,HOLLISTON,,13-Jun-14,3
39 MAITLAND,NEW BEDFORD,,13-Jun-14,3
51 PARKER,NEW BEDFORD,,13-Jun-14,3
PARKER,NEW BEDFORD,,13-Jun-14,3
18 BENTON,SOMERVILLE,,13-Jun-14,3
3 RUTLAND,WORCESTER,,13-Jun-14,3
4 RUTLAND,WORCESTER,,13-Jun-14,3
87 SAGAMORE,WORCESTER,,13-Jun-14,3
88 SAGAMORE,WORCESTER,,13-Jun-14,3
925 ALLEN,DARTMOUTH,,16-Jun-14,3
975 ALLEN,DARTMOUTH,,16-Jun-14,3
ALLEN,DARTMOUTH,@ SABLE AVENUE,16-Jun-14,3
439 MAXFIELD,NEW BEDFORD,,16-Jun-14,3
MAXFIELD,NEW BEDFORD,,16-Jun-14,3
COMMONWEALTH,NEW BEDFORD,@ HUNTINGTON AVENUE,17-Jun-14,3
HUSSEY,NEW BEDFORD,,17-Jun-14,3
950 KEMPTON,NEW BEDFORD,,17-Jun-14,3
23 LONGWOOD,NEW BEDFORD,,17-Jun-14,3
125 CAMPBELL,NEW BEDFORD,,18-Jun-14,3
155-161 CAMPBELL,NEW BEDFORD,,18-Jun-14,3
COTTAGE,NEW BEDFORD,,18-Jun-14,3
125 HILLMAN,NEW BEDFORD,,18-Jun-14,3
103 SMITH,NEW BEDFORD,,18-Jun-14,3
SYCAMORE,NEW BEDFORD,,18-Jun-14,3
WILLIS,NEW BEDFORD,,18-Jun-14,3
399 SOUTHBRIDGE,WORCESTER,,18-Jun-14,3
CAMPBELL,NEW BEDFORD,,19-Jun-14,3
CAMPBELL,NEW BEDFORD,,19-Jun-14,3
CAMPBELL,NEW BEDFORD,,19-Jun-14,3
638 COUNTY,NEW BEDFORD,,19-Jun-14,3
670 COUNTY,NEW BEDFORD,,19-Jun-14,3
COUNTY,NEW BEDFORD,,19-Jun-14,3
44 STATE,NEW BEDFORD,,19-Jun-14,3
21 SYCAMORE,NEW BEDFORD,,19-Jun-14,3
5 SYCAMORE,NEW BEDFORD,,19-Jun-14,3
SYCAMORE,NEW BEDFORD,,19-Jun-14,3
94 WALDEN,NEW BEDFORD,,19-Jun-14,3
49 WILLIS,NEW BEDFORD,,19-Jun-14,3
WILLIS,NEW BEDFORD,@ WASHINGTON AVENUE,19-Jun-14,3
JAMES,NEW BEDFORD,,20-Jun-14,3
46 JONATHAN,NEW BEDFORD,,20-Jun-14,3
478 BEDFORD,NEW BEDFORD,,23-Jun-14,3
SOUTH SIXTH,NEW BEDFORD,,23-Jun-14,3
FAIRFIELD,WORCESTER,@ ENFIELD STREET,23-Jun-14,3
140-142 BROWNELL,NEW BEDFORD,,24-Jun-14,3
112 COTTAGE,NEW BEDFORD,,24-Jun-14,3
329 HAWTHORN,NEW BEDFORD,,24-Jun-14,3
98 MADISON,NEW BEDFORD,,24-Jun-14,3
33 MAPLE,NEW BEDFORD,,24-Jun-14,3
MAPLE,NEW BEDFORD,,24-Jun-14,3
51 SEVENTH,NEW BEDFORD,,24-Jun-14,3
SEVENTH,NEW BEDFORD,,24-Jun-14,3
258 WALNUT,NEW BEDFORD,,24-Jun-14,3
WEST CLINTON,NEW BEDFORD,,24-Jun-14,3
BEDFORD,NEW BEDFORD,,25-Jun-14,3
HOWLAND,NEW BEDFORD,,25-Jun-14,3
362 PLEASANT,NEW BEDFORD,,25-Jun-14,3
18 WING,NEW BEDFORD,,25-Jun-14,3
24 WING,NEW BEDFORD,,25-Jun-14,3
WING,NEW BEDFORD,,25-Jun-14,3
45 WHIPPLE,WORCESTER,,25-Jun-14,3
436 SLOCUM,DARTMOUTH,,26-Jun-14,3
SLOCUM,DARTMOUTH,@ BERKLEY STREET,26-Jun-14,3
87 CHERYL,HOLLISTON,,26-Jun-14,3
FREEDOM,HOPEDALE,@ HOPEDALE STREET,26-Jun-14,3
NORTHRUP,HOPEDALE,,26-Jun-14,3
729 ALLEN,NEW BEDFORD,,26-Jun-14,3
113 CARROLL,NEW BEDFORD,,26-Jun-14,3
127 CARROLL,NEW BEDFORD,,26-Jun-14,3
227 CARROLL,NEW BEDFORD,,26-Jun-14,3
241 CARROLL,NEW BEDFORD,,26-Jun-14,3
CARROLL,NEW BEDFORD,,26-Jun-14,3
HARDING,NEW BEDFORD,,26-Jun-14,3
542 KIRBY,NEW BEDFORD,,26-Jun-14,3
225 RYAN,NEW BEDFORD,,26-Jun-14,3
237-242 RYAN,NEW BEDFORD,,26-Jun-14,3
RYAN,NEW BEDFORD,,26-Jun-14,3
1 BECKMAN,WORCESTER,,26-Jun-14,3
167 SLOCUM,DARTMOUTH,,27-Jun-14,3
339 SPEEN,NATICK,,27-Jun-14,3
393 SPEEN,NATICK,,27-Jun-14,3
ACUSHNET,NEW BEDFORD,@ LOGAN STREET,27-Jun-14,3
24-100 N-FRONT,NEW BEDFORD,,27-Jun-14,3
19 KINGLET,SHREWSBURY,,27-Jun-14,3
21 TANAGER,SHREWSBURY,,27-Jun-14,3
TANAGER,SHREWSBURY,@ KINGLET DRIVE,27-Jun-14,3
33 FALMOUTH,WORCESTER,,27-Jun-14,3
BROADWAY,CAMBRIDGE,@ GALILEI WAY,30-Jun-14,3
CASTLE,FAIRHAVEN,@ NORTH STREET,30-Jun-14,3
MADISON,NEW BEDFORD,,30-Jun-14,3
SOUTH SECOND,NEW BEDFORD,,30-Jun-14,3
8 BRIGHAM,NEW BEDFORD,,1-Jul-14,3
32 MANDELL,NEW BEDFORD,,1-Jul-14,3
ROCKDALE,NEW BEDFORD,,1-Jul-14,3
59 WINTERVILLE,NEW BEDFORD,,1-Jul-14,3
70 WINTERVILLE,NEW BEDFORD,,1-Jul-14,3
48 DORCHESTER,WORCESTER,,1-Jul-14,3
72 DORCHESTER,WORCESTER,,1-Jul-14,3
188 SHARP,DARTMOUTH,,2-Jul-14,3
74 BAY,NEW BEDFORD,,2-Jul-14,3
77 BEDFORD,NEW BEDFORD,,2-Jul-14,3
BEDFORD,NEW BEDFORD,@ ANTHONY STREET,2-Jul-14,3
70 COTTAGE,NEW BEDFORD,,2-Jul-14,3
76 COTTAGE,NEW BEDFORD,,2-Jul-14,3
COTTAGE,NEW BEDFORD,,2-Jul-14,3
27 MERIAM,NEW BEDFORD,,2-Jul-14,3
4 MERIAM,NEW BEDFORD,,2-Jul-14,3
48 STETSON,NEW BEDFORD,,2-Jul-14,3
34 STETSON,NEW BEDFORD,,2-Jul-14,3
43 STETSON,NEW BEDFORD,,2-Jul-14,3
28 DRESSER,DEDHAM,,3-Jul-14,3
2 LEE,KINGSTON,,3-Jul-14,3
164 MAIN,KINGSTON,,3-Jul-14,3
96 MAIN,KINGSTON,,3-Jul-14,3
2 PEARL,KINGSTON,,3-Jul-14,3
172 PEMBROKE,KINGSTON,,3-Jul-14,3
25 RIVERSIDE,KINGSTON,,3-Jul-14,3
74-78 SUMMER,KINGSTON,,3-Jul-14,3
91 SUMMER,KINGSTON,,3-Jul-14,3
93 NORTH,NATICK,,3-Jul-14,3
289 BOLTON,NEW BEDFORD,,3-Jul-14,3
325 BOLTON,NEW BEDFORD,,3-Jul-14,3
BRIGGS,NEW BEDFORD,,3-Jul-14,3
29 GOSNOLD,NEW BEDFORD,,3-Jul-14,3
SIDNEY,NEW BEDFORD,,3-Jul-14,3
THOMPSON,NEW BEDFORD,,3-Jul-14,3
10 ANGELA,SHREWSBURY,,6-Jul-14,3
40 MAURY,SHREWSBURY,,6-Jul-14,3
PAL,SHREWSBURY,@ ANGELA DRIVE,6-Jul-14,3
190 SOUTH QUINSIGAMOND,SHREWSBURY,,6-Jul-14,3
1 WORCESTER,NATICK,,7-Jul-14,3
BANK,NEW BEDFORD,@ ROCKDALE AVENUE,7-Jul-14,3
ROCKDALE,NEW BEDFORD,,7-Jul-14,3
ROCKDALE,NEW BEDFORD,,7-Jul-14,3
34 STACKHOUSE,NEW BEDFORD,,7-Jul-14,3
39 STEPHEN,NEW BEDFORD,,7-Jul-14,3
5 PARMENTER,MAYNARD,,8-Jul-14,3
981 LLOYD,NEW BEDFORD,,8-Jul-14,3
21 MOSHER,NEW BEDFORD,,8-Jul-14,3
665 ORCHARD,NEW BEDFORD,,8-Jul-14,3
ORCHARD,NEW BEDFORD,,8-Jul-14,3
187 OSBORNE,NEW BEDFORD,,8-Jul-14,3
ROCKDALE,NEW BEDFORD,,8-Jul-14,3
19 JORDAN,SHREWSBURY,,8-Jul-14,3
GULF,DARTMOUTH,@ MEADOWOOD DRIVE,9-Jul-14,3
COUNTY,NEW BEDFORD,,9-Jul-14,3
46 DELANO,NEW BEDFORD,,9-Jul-14,3
DELANO,NEW BEDFORD,,9-Jul-14,3
W-RODNEY-FRENCH,NEW BEDFORD,,9-Jul-14,3
74 GARRETT,PLYMOUTH,,9-Jul-14,3
25 ACTON,WORCESTER,,9-Jul-14,3
JOSHUA-WEEKS,DARTMOUTH,,10-Jul-14,3
BRIERCLIFF,FAIRHAVEN,,10-Jul-14,3
24 COVE,NEW BEDFORD,,10-Jul-14,3
49 MACARTHUR,NEW BEDFORD,,10-Jul-14,3
83 RUTH,NEW BEDFORD,,10-Jul-14,3
SALISBURY,NEW BEDFORD,,10-Jul-14,3
SOUTH,NEW BEDFORD,,10-Jul-14,3
57 UPLAND,SOMERVILLE,,10-Jul-14,3
193 VERNON,WORCESTER,,10-Jul-14,3
95 GREGORY,HOLLISTON,,11-Jul-14,3
495 NORFOLK,HOLLISTON,,11-Jul-14,3
NORFOLK,HOLLISTON,,11-Jul-14,3
145-147 ALLORD,NEW BEDFORD,,11-Jul-14,3
151 BIRCH,NEW BEDFORD,,11-Jul-14,3
90 MOSS,NEW BEDFORD,,11-Jul-14,3
WALDEN,CAMBRIDGE,@ CONCORD STREET,12-Jul-14,3
40 BIRCH-HILL,ASHLAND,,14-Jul-14,3
44 BIRCH-HILL,ASHLAND,,14-Jul-14,3
29 VIRGINIA,NATICK,,14-Jul-14,3
103 HUDSON,NEW BEDFORD,,14-Jul-14,3
71 SEYMOUR,NEW BEDFORD,,14-Jul-14,3
83 SEYMOUR,NEW BEDFORD,,14-Jul-14,3
93 SEYMOUR,NEW BEDFORD,,14-Jul-14,3
W-RODNEY-FRENCH,NEW BEDFORD,,14-Jul-14,3
651 LAKE,SHREWSBURY,,14-Jul-14,3
169 WEST MAIN,WESTBOROUGH,,14-Jul-14,3
WEST MAIN,WESTBOROUGH,@ WEST STREET,14-Jul-14,3
78 BROCK,NEW BEDFORD,,15-Jul-14,3
805 BROCK,NEW BEDFORD,,15-Jul-14,3
90 BROCK,NEW BEDFORD,,15-Jul-14,3
34 LAKEVIEW,SHREWSBURY,,15-Jul-14,3
36 N-QUINSIGAMOND,SHREWSBURY,,15-Jul-14,3
MASON,WORCESTER,,15-Jul-14,3
TALLAWANDA,WORCESTER,,15-Jul-14,3
379 HEMLOCK,DARTMOUTH,,16-Jul-14,3
129 STACKHOUSE,DARTMOUTH,,16-Jul-14,3
STACKHOUSE,DARTMOUTH,,16-Jul-14,3
139 STEPHEN,DARTMOUTH,,16-Jul-14,3
18 VINCENT,GRAFTON,,16-Jul-14,3
260 HOPPING-BROOK,HOLLISTON,,16-Jul-14,3
TOURAINE,WORCESTER,,16-Jul-14,3
167 WINTER,ASHLAND,,17-Jul-14,3
10 SURREY,NATICK,,17-Jul-14,3
6 SURREY,NATICK,,17-Jul-14,3
3 COLONIAL,WESTBOROUGH,,17-Jul-14,3
33 GELLETTE,FAIRHAVEN,,22-Jul-14,3
39 GELLETTE,FAIRHAVEN,,22-Jul-14,3
46 GELLETTE,FAIRHAVEN,,22-Jul-14,3
58 GELLETTE,FAIRHAVEN,,22-Jul-14,3
66 GELLETTE,FAIRHAVEN,,22-Jul-14,3
91 FLANDERS,WESTBOROUGH,,22-Jul-14,3
STATE,CAMBRIDGE,@ 810 MAIN STREET,23-Jul-14,3
10 EVERGREEN,FAIRHAVEN,,23-Jul-14,3
6 EVERGREEN,FAIRHAVEN,,23-Jul-14,3
8 EVERGREEN,FAIRHAVEN,,23-Jul-14,3
HILL,FAIRHAVEN,,23-Jul-14,3
HILL,FAIRHAVEN,,23-Jul-14,3
15 DRURY,NATICK,,23-Jul-14,3
615 MAIN,SHREWSBURY,,23-Jul-14,3
734-738 MAIN,SHREWSBURY,,23-Jul-14,3
23 CONCORD,CAMBRIDGE,,24-Jul-14,3
12 BLOSSOM,FAIRHAVEN,,24-Jul-14,3
17 BLOSSOM,FAIRHAVEN,,24-Jul-14,3
5 BLOSSOM,FAIRHAVEN,,24-Jul-14,3
18 EVERGREEN,FAIRHAVEN,,24-Jul-14,3
22 EVERGREEN,FAIRHAVEN,,24-Jul-14,3
33-34 EVERGREEN,FAIRHAVEN,,24-Jul-14,3
35-36 EVERGREEN,FAIRHAVEN,,24-Jul-14,3
EVERGREEN,FAIRHAVEN,,24-Jul-14,3
4 HILL,FAIRHAVEN,,24-Jul-14,3
HILL,FAIRHAVEN,,24-Jul-14,3
12 HAMLET,FAIRHAVEN,,28-Jul-14,3
16 HAMLET,FAIRHAVEN,,28-Jul-14,3
18 HAMLET,FAIRHAVEN,,28-Jul-14,3
20 HAMLET,FAIRHAVEN,,28-Jul-14,3
26 HAMLET,FAIRHAVEN,,28-Jul-14,3
4 HAMLET,FAIRHAVEN,,28-Jul-14,3
6 HAMLET,FAIRHAVEN,,28-Jul-14,3
7-8 HAMLET,FAIRHAVEN,,28-Jul-14,3
HAMLET,FAIRHAVEN,,28-Jul-14,3
81 CREEPER-HILL,GRAFTON,,28-Jul-14,3
37 HILLTOP,GRAFTON,,28-Jul-14,3
20 NELSON,GRAFTON,,28-Jul-14,3
65 NOTTINGHAM,GRAFTON,,28-Jul-14,3
8 HEARTHSTONE,WAYLAND,,28-Jul-14,3
118-120 SHERMAN,CAMBRIDGE,,29-Jul-14,3
14 COOLIDGE,FAIRHAVEN,,29-Jul-14,3
5 COOLIDGE,FAIRHAVEN,,29-Jul-14,3
COOLIDGE,FAIRHAVEN,,29-Jul-14,3
33 DARTMOUTH,FAIRHAVEN,,29-Jul-14,3
41 DARTMOUTH,FAIRHAVEN,,29-Jul-14,3
29 HAMLET,FAIRHAVEN,,29-Jul-14,3
STUDLEY,FAIRHAVEN,,29-Jul-14,3
110 WEEDEN,FAIRHAVEN,,30-Jul-14,3
14 WEEDEN,FAIRHAVEN,,30-Jul-14,3
28 WEEDEN,FAIRHAVEN,,30-Jul-14,3
30 WEEDEN,FAIRHAVEN,,30-Jul-14,3
480 FARM,MARLBORO,,30-Jul-14,3
1 LONGWOOD,WORCESTER,,30-Jul-14,3
3 GRAY GARDENS EAST,CAMBRIDGE,,31-Jul-14,3
54 GAINSVILLE,DEDHAM,,31-Jul-14,3
141 WEEDEN,FAIRHAVEN,,31-Jul-14,3
WEEDEN,FAIRHAVEN,,31-Jul-14,3
23 KELSEY,NATICK,,31-Jul-14,3
5 WESTFIELD,NATICK,,31-Jul-14,3
45 BIRCHWOOD,DARTMOUTH,,1-Aug-14,3
12 CYPRESS,DARTMOUTH,,1-Aug-14,3
9 DRIFTWOOD,DARTMOUTH,,1-Aug-14,3
122 HIGH,DEDHAM,,1-Aug-14,3
65 MILL,FAIRHAVEN,,1-Aug-14,3
67 MILL,FAIRHAVEN,,1-Aug-14,3
MILL,FAIRHAVEN,,1-Aug-14,3
47 MATTAKEESET,MATTAPAN,,1-Aug-14,3
GROVE,WORCESTER,@ LANSING AVENUE,1-Aug-14,3
28 POPE,HUDSON,,3-Aug-14,3
109 HOWE,ASHLAND,,4-Aug-14,3
11 EDDY,FAIRHAVEN,,4-Aug-14,3
119 RUSKINDALE,MATTAPAN,,4-Aug-14,3
750 GROVE,WORCESTER,,4-Aug-14,3
GROVE,WORCESTER,@ DRUMMOND AVENUE,4-Aug-14,3
LELAND,ASHLAND,@ ALDEN STREET,5-Aug-14,3
507 MAIN,ASHLAND,,5-Aug-14,3
74 SUMMER,ASHLAND,,5-Aug-14,3
155 UNION,ASHLAND,,5-Aug-14,3
12 WHITTIER,CAMBRIDGE,,5-Aug-14,3
RUSKINDALE,MATTAPAN,@ RADCLIFFE ROAD,5-Aug-14,3
CENTER,DARTMOUTH,@ RUSSELL MILLS ROAD,6-Aug-14,3
17-18 JAMESON,FAIRHAVEN,,6-Aug-14,3
46 TAUNTON,MATTAPAN,,6-Aug-14,3
OPP. 54 TAUNTON,MATTAPAN,,6-Aug-14,3
60 HOWE,SHREWSBURY,,6-Aug-14,3
74 HOWE,SHREWSBURY,,6-Aug-14,3
8 WESTLEY,CAMBRIDGE,,7-Aug-14,3
27 SMITH,DARTMOUTH,,7-Aug-14,3
47 SMITH,DARTMOUTH,,7-Aug-14,3
47 HACKER,FAIRHAVEN,,7-Aug-14,3
4 HIGHLAND,FAIRHAVEN,,7-Aug-14,3
8 HIGHLAND,FAIRHAVEN,,7-Aug-14,3
HIGHLAND,FAIRHAVEN,,7-Aug-14,3
190 FREMONT,WORCESTER,,7-Aug-14,3
102 HARVEY,CAMBRIDGE,,8-Aug-14,3
33 ARCH,DARTMOUTH,,8-Aug-14,3
11 EDGEWORTH,DARTMOUTH,,8-Aug-14,3
GREENDALE,DARTMOUTH,@ WEBSTER STREET,8-Aug-14,3
LAUREL,DARTMOUTH,@ ATLANTIC STREET,8-Aug-14,3
78 HILLSIDE,DEDHAM,,8-Aug-14,3
2 BAY-VIEW,FAIRHAVEN,,8-Aug-14,3
36 BAY-VIEW,FAIRHAVEN,,8-Aug-14,3
54 BAY-VIEW,FAIRHAVEN,,8-Aug-14,3
62 BAY-VIEW,FAIRHAVEN,,8-Aug-14,3
25 BRAE,FAIRHAVEN,,8-Aug-14,3
30-33 BRAE,FAIRHAVEN,,8-Aug-14,3
5 BRAE,FAIRHAVEN,,8-Aug-14,3
BRAE,FAIRHAVEN,,8-Aug-14,3
BRAE,FAIRHAVEN,@ SEBEC STREET,8-Aug-14,3
4 DAY,FAIRHAVEN,,8-Aug-14,3
DAY,FAIRHAVEN,@ SCONTICUT NECK ROAD,8-Aug-14,3
3 NEPTUNE,WORCESTER,,8-Aug-14,3
75 THERESA,DARTMOUTH,,11-Aug-14,3
HARVARD,FAIRHAVEN,,11-Aug-14,3
31 MANHATTAN,FAIRHAVEN,,11-Aug-14,3
33 MANHATTAN,FAIRHAVEN,,11-Aug-14,3
123 SCONTICUT-NECK,FAIRHAVEN,,11-Aug-14,3
507 MAIN,ASHLAND,,12-Aug-14,3
71 WARREN,ASHLAND,,12-Aug-14,3
98 WARREN,ASHLAND,,12-Aug-14,3
26 ELLERY,CAMBRIDGE,,12-Aug-14,3
24 FISKE,CAMBRIDGE,,12-Aug-14,3
141-143 RINDGE,CAMBRIDGE,,12-Aug-14,3
40 BAY,FAIRHAVEN,,12-Aug-14,3
38 GROVE,FAIRHAVEN,,12-Aug-14,3
46 GROVE,FAIRHAVEN,,12-Aug-14,3
79 BIRCHCROFT,MATTAPAN,,12-Aug-14,3
30 ADAMS,WORCESTER,,12-Aug-14,3
10 AGAWAM,WORCESTER,,12-Aug-14,3
OPP 9 AIRLIE,WORCESTER,,12-Aug-14,3
AIRLIE,WORCESTER,,12-Aug-14,3
100 ALVARADO,WORCESTER,,12-Aug-14,3
4 ALVARADO,WORCESTER,,12-Aug-14,3
82 ALVARADO,WORCESTER,,12-Aug-14,3
90 ALVARADO,WORCESTER,,12-Aug-14,3
88 AMHERST,WORCESTER,,12-Aug-14,3
8 ANNA,WORCESTER,,12-Aug-14,3
ANNA,WORCESTER,,12-Aug-14,3
13 GRAY-GARDEN-E,CAMBRIDGE,,13-Aug-14,3
25 GRAY-GARDEN-E,CAMBRIDGE,,13-Aug-14,3
31 GRAY-GARDEN-E,CAMBRIDGE,,13-Aug-14,3
23 BONNEY,FAIRHAVEN,,13-Aug-14,3
29 HATHAWAY,FAIRHAVEN,,13-Aug-14,3
30 HATHAWAY,FAIRHAVEN,,13-Aug-14,3
HATHAWAY,FAIRHAVEN,,13-Aug-14,3
9 ORCHARD,FAIRHAVEN,,13-Aug-14,3
180 ASH,HOPKINTON,,13-Aug-14,3
188 ASH,HOPKINTON,,13-Aug-14,3
211 ASH,HOPKINTON,,13-Aug-14,3
2 EXCHANGE,HOPKINTON,,13-Aug-14,3
6 EXCHANGE,HOPKINTON,,13-Aug-14,3
8 MESERVE,HOPKINTON,,13-Aug-14,3
OFF WOOD,HOPKINTON,,13-Aug-14,3
WOOD,HOPKINTON,,13-Aug-14,3
11 FERNDALE,NATICK,,13-Aug-14,3
30 HARWOOD,NATICK,,13-Aug-14,3
1116 GREAT-PLAIN,NEEDHAM,,13-Aug-14,3
HUNNEWELL,NEEDHAM,,13-Aug-14,3
12 WESTBOROUGH,WORCESTER,,13-Aug-14,3
120 APRICOT,WORCESTER,,14-Aug-14,3
112 ARARAT,WORCESTER,,14-Aug-14,3
113 ARARAT,WORCESTER,,14-Aug-14,3
OPP 96 ARARAT,WORCESTER,,14-Aug-14,3
3 ARBOR VITAE,WORCESTER,,14-Aug-14,3
36 ASCADILLA,WORCESTER,,14-Aug-14,3
POND,ASHLAND,@ BUTTERFIELD DRIVE,15-Aug-14,3
70 SUMMER,ASHLAND,,15-Aug-14,3
OPP 78 SEMINOLE,MATTAPAN,,15-Aug-14,3
14 JENNINGS-POND,NATICK,,15-Aug-14,3
423 OAK,SHREWSBURY,,15-Aug-14,3
323-325 CONCORD,CAMBRIDGE,,16-Aug-14,3
225 COURT,DEDHAM,,18-Aug-14,3
109 FORT-MEADOW,HUDSON,,18-Aug-14,3
5 FORT-MEADOW,HUDSON,,18-Aug-14,3
150 LEOLEIS,MARLBORO,,18-Aug-14,3
800 RIVER,MATTAPAN,,18-Aug-14,3
PEARSON,SOMERVILLE,,18-Aug-14,3
RIDGE,WORCESTER,@ 7 LAPIERRE STREET,18-Aug-14,3
BROADWAY,CAMBRIDGE,,19-Aug-14,3
99 CURVE,DEDHAM,,19-Aug-14,3
55 CAUSEWAY,HUDSON,,19-Aug-14,3
201 WOOD,HYDE PARK,,19-Aug-14,3
309 WOOD,HYDE PARK,,19-Aug-14,3
110 BOSTON,SOMERVILLE,,19-Aug-14,3
714 BROADWAY,SOMERVILLE,,19-Aug-14,3
188 AUSTIN,WORCESTER,,19-Aug-14,3
5 AUTUMN,WORCESTER,,19-Aug-14,3
51 BARNARD,WORCESTER,,19-Aug-14,3
11 BAY-STATE,WORCESTER,,19-Aug-14,3
47 BAY-STATE,WORCESTER,,19-Aug-14,3
206 BEACONSFIELD,WORCESTER,,19-Aug-14,3
56 BEACONSFIELD,WORCESTER,,19-Aug-14,3
OPP 60 BEECHING,WORCESTER,,19-Aug-14,3
148 LAWSON,ACUSHNET,,20-Aug-14,3
11 MIDDLE,ACUSHNET,,20-Aug-14,3
MIDDLE,ACUSHNET,,20-Aug-14,3
MIDDLE,ACUSHNET,,20-Aug-14,3
161 GARDEN,CAMBRIDGE,,20-Aug-14,3
3 LIBERTY,DEDHAM,,20-Aug-14,3
TREASURE-BAY,FAIRHAVEN,,20-Aug-14,3
11 COLLINS,HUDSON,,20-Aug-14,3
8 COLLINS,HUDSON,,20-Aug-14,3
27 FARRAR,HYDE PARK,,20-Aug-14,3
29 MAGEE,HYDE PARK,,20-Aug-14,3
84 TACOMA,HYDE PARK,,20-Aug-14,3
90 CLARENDON,SOMERVILLE,,20-Aug-14,3
20 HALL,SOMERVILLE,,20-Aug-14,3
TUNIS,WORCESTER,,20-Aug-14,3
28 VOLKMAR,WORCESTER,,20-Aug-14,3
W-BOYLSTON,WORCESTER,,20-Aug-14,3
63 FRESH-POND,CAMBRIDGE,,21-Aug-14,3
32 BUSH,DARTMOUTH,,21-Aug-14,3
BUSH,DARTMOUTH,@ THATCHER STREET,21-Aug-14,3
BUSH,DARTMOUTH,@ COOKIE WAY,21-Aug-14,3
1145 EAST,DEDHAM,,21-Aug-14,3
19 GILBERT,FAIRHAVEN,,21-Aug-14,3
65 RAYMOND,FAIRHAVEN,,21-Aug-14,3
RAYMOND,FAIRHAVEN,@ SCONTICUT NECK ROAD,21-Aug-14,3
SCONTICUT-NECK,FAIRHAVEN,,21-Aug-14,3
31 KENT,HUDSON,,21-Aug-14,3
35 KENT,HUDSON,,21-Aug-14,3
5 KENT,HUDSON,,21-Aug-14,3
2 JEFFERSON,NATICK,,21-Aug-14,3
157 BEAUFORT,NEEDHAM,,21-Aug-14,3
165 BEAUFORT,NEEDHAM,,21-Aug-14,3
BOSTON,SOMERVILLE,,21-Aug-14,3
NORTH,SOMERVILLE,,21-Aug-14,3
35 STANDISH,WORCESTER,,21-Aug-14,3
11 TATTAN-FARM,WORCESTER,,21-Aug-14,3
7 VENDORA,WORCESTER,,21-Aug-14,3
4 ZENITH,WORCESTER,,21-Aug-14,3
32 CLIFFORD,ACUSHNET,,22-Aug-14,3
CONDUIT,ACUSHNET,,22-Aug-14,3
42 LAURA-KEENE,ACUSHNET,,22-Aug-14,3
134 LAWSON,ACUSHNET,,22-Aug-14,3
24 FAIR-OAK,DEDHAM,,22-Aug-14,3
MECHANIC,HOPKINTON,,22-Aug-14,3
5 SPRING,HOPKINTON,,22-Aug-14,3
26 TREVOR,HOPKINTON,,22-Aug-14,3
30 EATON,HUDSON,,22-Aug-14,3
40 EATON,HUDSON,,22-Aug-14,3
44 EATON,HUDSON,,22-Aug-14,3
26 STRATTON,HUDSON,,22-Aug-14,3
79 FAIRFAX,SOMERVILLE,,22-Aug-14,3
26 BRIDGE,DARTMOUTH,,25-Aug-14,3
20 SCHOOL,DARTMOUTH,,25-Aug-14,3
SCHOOL,DARTMOUTH,@ HIGH STREET,25-Aug-14,3
24 HOLIDAY,FAIRHAVEN,,25-Aug-14,3
14 SEAVIEW,FAIRHAVEN,,25-Aug-14,3
15 SEAVIEW,FAIRHAVEN,,25-Aug-14,3
23 SEAVIEW,FAIRHAVEN,,25-Aug-14,3
34 SEAVIEW,FAIRHAVEN,,25-Aug-14,3
38 SEAVIEW,FAIRHAVEN,,25-Aug-14,3
205 WASHINGTON,HUDSON,,25-Aug-14,3
213 WASHINGTON,HUDSON,,25-Aug-14,3
234 WASHINGTON,HUDSON,,25-Aug-14,3
281 WASHINGTON,HUDSON,,25-Aug-14,3
121 HOLLINGSWORTH,MATTAPAN,,25-Aug-14,3
4586 ACUSHNET,NEW BEDFORD,,25-Aug-14,3
49 GREEN-HILL,WORCESTER,,25-Aug-14,3
TACOMA,WORCESTER,,25-Aug-14,3
12 VINCENT,CAMBRIDGE,,26-Aug-14,3
1 DALLAS,DARTMOUTH,,26-Aug-14,3
119 GREENSBORO,DEDHAM,,26-Aug-14,3
22 BRIERCLIFF,FAIRHAVEN,,26-Aug-14,3
49 BRIERCLIFF,FAIRHAVEN,,26-Aug-14,3
60 GROVE,FAIRHAVEN,,26-Aug-14,3
17 BLAINE,HUDSON,,26-Aug-14,3
2 COOLIDGE,HUDSON,,26-Aug-14,3
69 FLORENCE,HUDSON,,26-Aug-14,3
PACKARD,HUDSON,,26-Aug-14,3
37-39 WATER,MATTAPOISETT,,26-Aug-14,3
40 WATER,MATTAPOISETT,,26-Aug-14,3
3650 ACUSHNET,NEW BEDFORD,,26-Aug-14,3
3678 ACUSHNET,NEW BEDFORD,,26-Aug-14,3
3762 ACUSHNET,NEW BEDFORD,,26-Aug-14,3
