ADDRESS,TOWN,INTERSECTION,CLASSIFIED,GRADE
9 COLONIAL,SHREWSBURY,,18-Jul-13,3
90 SIXTH,CAMBRIDGE,,24-Jul-13,3
OPP 3 PLEASANT,FAIRHAVEN,,25-Jul-13,3
746 MILL,MARION,,25-Jul-13,3
1493 RIVER,HYDE PARK,,5-Aug-13,3
10 RICE,HUDSON,,20-Aug-13,3
238 BEACON,FRAMINGHAM,,27-Aug-13,3
MULBERRY,WORCESTER,,27-Aug-13,3
103B BEAVER-TERRACE,FRAMINGHAM,,28-Aug-13,3
73 A&B BEAVER-TERRACE,FRAMINGHAM,,28-Aug-13,3
7 BISHOP,FRAMINGHAM,,29-Aug-13,3
104 MILL,WORCESTER,,29-Aug-13,3
103 WILLIAM,HYDE PARK,,30-Aug-13,3
PENNIMAN,NEW BEDFORD,@ MYRTLE STREET,18-Sep-13,3
75 JOSEPH,FRAMINGHAM,,7-Oct-13,3
18 LAVERDURE,FRAMINGHAM,,7-Oct-13,3
LARIVIERE,FRAMINGHAM,,8-Oct-13,3
4 LINWOOD,FRAMINGHAM,,8-Oct-13,3
1 MARBLE,FRAMINGHAM,,9-Oct-13,3
75 MAYNARD,FRAMINGHAM,,9-Oct-13,3
47 MELLEN,FRAMINGHAM,,10-Oct-13,3
12 NORTH,FRAMINGHAM,,10-Oct-13,3
46 SUMMIT,MARLBORO,,10-Oct-13,3
33 PARKER,FRAMINGHAM,,11-Oct-13,3
260 SHREWSBURY,BOYLSTON,,15-Oct-13,3
50 SHREWSBURY,BOYLSTON,,15-Oct-13,3
16 RUSSELL,FRAMINGHAM,,15-Oct-13,3
700 SALEM-END,FRAMINGHAM,,15-Oct-13,3
33 SUMMER,FRAMINGHAM,,17-Oct-13,3
120 WARREN,FRAMINGHAM,,18-Oct-13,3
140 WARREN,FRAMINGHAM,,18-Oct-13,3
HOLDEN,SHREWSBURY,,18-Oct-13,3
TRIPP,DARTMOUTH,,21-Oct-13,3
60 WILSON,FRAMINGHAM,,21-Oct-13,3
144 BEACON,WORCESTER,,21-Oct-13,3
3 WINTER,FRAMINGHAM,,24-Oct-13,3
110 PROSPECT,DARTMOUTH,,29-Oct-13,3
61 PROSPECT,DARTMOUTH,,29-Oct-13,3
80 PROSPECT,DARTMOUTH,,29-Oct-13,3
19-21 QUEEN,WORCESTER,,31-Oct-13,3
626 SLOCUM,DARTMOUTH,,4-Nov-13,3
40 MAY,WORCESTER,,4-Nov-13,3
75-79 MOUNT AUBURN,CAMBRIDGE,,8-Nov-13,3
391 STATE,DARTMOUTH,,8-Nov-13,3
STATE,DARTMOUTH,,13-Nov-13,3
411 STATE,DARTMOUTH,,14-Nov-13,3
429 MAIN,HUDSON,,14-Nov-13,3
863 CENTRAL,FRAMINGHAM,,15-Nov-13,3
401 MEDFORD,SOMERVILLE,,15-Nov-13,3
125 VERNON,WORCESTER,,20-Nov-13,3
READVILLE,HYDE PARK,,22-Nov-13,3
PHILLIPS-BROOK,WESTWOOD,,25-Nov-13,3
179 PORTER,WESTWOOD,,25-Nov-13,3
128 FEARING,WESTWOOD,,26-Nov-13,3
FEARING,WESTWOOD,,26-Nov-13,3
6 HAWKTREE,WESTWOOD,,26-Nov-13,3
265 WASHINGTON,WESTWOOD,,26-Nov-13,3
2 DOVER,DOVER,,27-Nov-13,3
27 LORING,WESTWOOD,,27-Nov-13,3
16 WESTBROOK,WESTWOOD,,27-Nov-13,3
34 COVE,DARTMOUTH,,2-Dec-13,3
28 THOMPSON,HYDE PARK,,3-Dec-13,3
GARDEN,CAMBRIDGE,,5-Dec-13,3
1084 TRUMAN,HYDE PARK,,9-Dec-13,3
TRUMAN,HYDE PARK,,9-Dec-13,3
22 WASHINGTON,HYDE PARK,,10-Dec-13,3
315-323 WEST,HYDE PARK,,10-Dec-13,3
PLEASANT,NATICK,@ MILL LANE,10-Dec-13,3
954 WEBSTER,NEEDHAM,,12-Dec-13,3
HIGHLAND,NEEDHAM,,19-Dec-13,3
BRATTLE,CAMBRIDGE,,14-Jan-14,3
13 MISHAWUM,DARTMOUTH,,21-Jan-14,3
10 HAMLET,FAIRHAVEN,,25-Feb-14,3
40-47 AGNES,FRAMINGHAM,,19-Mar-14,3
63-67 HIGLEY,ASHLAND,,25-Mar-14,3
2 SOL-E-MAR,DARTMOUTH,,25-Mar-14,3
69 ERNEST,WORCESTER,,26-Mar-14,3
399 WHITNEY,NORTHBORO,,28-Mar-14,3
34 BOW,SOMERVILLE,,1-Apr-14,3
FORT-MEADOW,HUDSON,@ CHAMPLAIN DRIVE,3-Apr-14,3
101 SOUTHBRIDGE,AUBURN,,7-Apr-14,3
65 SOUTHBRIDGE,AUBURN,,7-Apr-14,3
596 WAVERLY,FRAMINGHAM,,7-Apr-14,3
176 RESERVOIR,HOLDEN,,7-Apr-14,3
KEMPTON,NEW BEDFORD,@ BUTTONWOOD STREET,7-Apr-14,3
KEMPTON,NEW BEDFORD,@ ILLION STREET,7-Apr-14,3
14 W-BOYLSTON,WORCESTER,,7-Apr-14,3
ENNEKING,HYDE PARK,,8-Apr-14,3
177 S-MAIN,ACUSHNET,,9-Apr-14,3
376 SOUTHBRIDGE,AUBURN,,9-Apr-14,3
18-20 RALDNE,HYDE PARK,,9-Apr-14,3
385 SOUTHBRIDGE,AUBURN,,10-Apr-14,3
