ADDRESS,TOWN,INTERSECTION,REPAIRED,GRADE
147 PRINCE,NEEDHAM,,21-Nov-15,2
MASSACHUSETTS,CAMBRIDGE,@ CLARENDON AVENUE,28-Sep-15,3
2512 MASSACHUSETTS,CAMBRIDGE,@ COTTAGE PARK AVENUE,28-Sep-15,3
2029 MASSACHUSETTS,CAMBRIDGE,BLAKE STREET,2-Jan-15,2
31 BRAE,FAIRHAVEN,,11-Feb-15,3
674 BROADWAY,SOMERVILLE,,18-Nov-15,2
CHANDLER,WORCESTER,@ PIEDMONT STREET,3-Sep-15,2
87 THOMAS,DEDHAM,BUSSEY STREET,16-Mar-15,2
673 CONCORD,FRAMINGHAM,PHELPS ROAD,1-May-15,2
326 HUTTLESTON,FAIRHAVEN,STONE STREET,6-Mar-15,2
MAGAZINE,CAMBRIDGE,@ PUTNAM AVENUE,6-Jan-15,2
30-33 BRAE,FAIRHAVEN,,11-Feb-15,3
661 CONCORD,FRAMINGHAM,GUADAL CANAL,12-Jan-15,2
89A WARREN,PLYMOUTH,,3-Sep-15,2
32 QUINCY,CAMBRIDGE,BROADWAY,23-Apr-15,2
180 ASH,HOPKINTON,CHESTNUT ST,2-Jan-15,2
87 WINDHAM,HYDE PARK,,2-Jan-15,2
45-47 CAMERON,CAMBRIDGE,@ SEVEN PINES,2-Jan-15,2
54 COMO,HYDE PARK,,26-Jan-15,2
268 WALDEN,CAMBRIDGE,,2-Jan-15,2
353 WOOD,HOPKINTON,SPRING ST,5-Jan-15,2
33 KIRKLAND,CAMBRIDGE,KIRKLAND PL,27-Mar-15,2
804 HYDE PARK,HYDE PARK,,14-Jan-15,2
142 HIGHLAND,WORCESTER,WEST ST,8-Apr-15,2
19 BARRETT,NEEDHAM,,16-Jan-15,2
410 MEMORIAL,CAMBRIDGE,,14-Apr-15,3
327 WEST CENTRAL,NATICK,,27-Mar-15,2
315-323 WEST,HYDE PARK,,23-Jan-15,3
108 PROSPECT,ASHLAND,,1-Jan-15,1
146 VINCENT,DEDHAM,,2-Jan-15,2
169 DICENZO,MARLBORO,,2-Jan-15,2
23 CORNELL,MILFORD,,2-Jan-15,1
264 WELD,NEW BEDFORD,SUMMER ST,2-Jan-15,1
19 DUDLEY,NEW BEDFORD,,2-Jan-15,1
94 WILLARD,NEW BEDFORD,,2-Jan-15,1
OLD PLAINVILLE,NEW BEDFORD,,2-Jan-15,2
13 WHITNEY,WESTBOROUGH,,2-Jan-15,1
186 PRESCOTT,WORCESTER,NORTH ST,2-Jan-15,1
181 MASSACHUSETTS,CAMBRIDGE,ALBANY ST,3-Jan-15,1
