LEAK_NO,REPORTED_HOUSE_NUMBER REPORTED_STREET,REPORTED_CROSS_STREET,REPORTED_TOWN,REPAIR_NO,REPAIRED_HOUSE_NUMBER,REPAIRED_STREET,REPAIRED_CROSS_STREET,REPAIRED_TOWN,REPORTED_DATE,CLASS_CURRENT,REPAIRED_DATE,LEAK_CAUSE,,,
325269,,SUMMER ST,EAST ST,HIN,,,,,,7/21/2009,3,,,,
325270,326 WASHINGTON ST,,KING AVE,WEY,,,,,,7/25/2009,3,,,,
325272,114 CURTIS AVE,,WASHINGTON CT,QUI,,,,,,8/3/2009,3,,,,
325273,101 FOLLETT ST,,CHERRY ST,QUI,,,,,,8/3/2009,3,,,,
325274,20 CHERRY ST,,CURTIS AVE,QUI,,,,,,8/3/2009,3,,,,
325275,26 MYRTLE ST,,SALEM ST,MAL,,,,,,8/10/2009,3,,,,
325276,13 AVALON AVE,,WASHINGTON CT,QUI,,,,,,8/3/2009,3,,,,
325278,27 DEE RD,,LAWN AVE,QUI,,,,,,8/3/2009,3,,,,
325283,19 CHASE ST,,CHUBBUCK ST,QUI,,,,,,8/4/2009,3,,,,
325284,44 GERMAIN AVE,,COMMONWEALTH AVE,QUI,,,,,,8/4/2009,3,,,,
325289,60 GERMAIN AVE,,COMMONWEALTH AVE,QUI,,,,,,8/4/2009,3,,,,
325290,105 CHUBBUCK ST,,CHASE ST,QUI,,,,,,8/4/2009,3,,,,
325292,38 GERMAIN AVE,,COMMONWEALTH AVE,QUI,,,,,,8/4/2009,3,,,,
325293,17 CHESTNUT ST,,HANCOCK ST,QUI,,,,,,8/7/2009,3,,,,
325295,36 CURTIS AVE,,NEVADA RD,QUI,,,,,,8/4/2009,3,,,,
325297,60 ELM ST,,DYSART ST,QUI,,,,,,8/6/2009,3,,,,
325298,1 LAWN AVE,,WASHINGTON CT,QUI,,,,,,8/6/2009,3,,,,
325299,51 LAWN AVE,,BAKER AVE,QUI,,,,,,8/6/2009,3,,,,
325300,75 LAWN AVE,,DEE RD,QUI,,,,,,8/6/2009,3,,,,
325301,47 MILL ST,,1ST ST,QUI,,,,,,8/6/2009,3,,,,
325303,42 HARRISON ST,,FOLLETT ST,QUI,,,,,,8/6/2009,3,,,,
325304,54 HARRISON ST,,FOLLETT ST,QUI,,,,,,8/6/2009,3,,,,
325305,6 CURTIS AVE,,BAXTER AVE,QUI,,,,,,8/6/2009,3,,,,
325310,,MAMMOTH RD,VANDETTE AVE,DRA,,,,,,8/6/2009,3,,,,
325323,31 WHITON AVE,,BAKER AVE,QUI,,,,,,8/5/2009,3,,,,
325324,45 D ST,,NEW SPAULDING ST,LOW,,,,,,8/4/2009,3,,,,
325326,121 ARNOLD ST,,WASHINGTON ST,QUI,,,,,,8/5/2009,3,,,,
325329,2 WHITON AVE,,WASHINGTON CT,QUI,,,,,,8/5/2009,3,,,,
325332,111 ARNOLD ST,,MURDOCK AVE,QUI,,,,,,8/5/2009,3,,,,
325336,51 MAIN ST,,OAK ST,QUI,,,,,,8/5/2009,3,,,,
325339,103 S WALNUT ST,,OAK ST,QUI,,,,,,8/5/2009,3,,,,
325343,73 MAIN ST,,OAK ST,QUI,,,,,,8/5/2009,3,,,,
325344,11 HADDON ST,,WINTHROP AVE,REV,,,,,,8/11/2009,3,,,,
325349,8 GRAFTON ST,,MAIN ST,QUI,,,,,,8/5/2009,3,,,,
325350,14 GRAFTON ST,,MAIN ST,QUI,,,,,,8/5/2009,3,,,,
325352,66 MERCURY ST,,VENUS ST,WEY,,,,,,7/31/2009,3,,,,
325353,40 ACTON ST,,NORFOLK ST,QUI,,,,,,7/31/2009,3,,,,
325356,16 VAN GREENBY RD,,WASHINGTON PKY,LOW,,,,,,7/28/2009,3,,,,
325358,94 WINTHROP AVE,,PUFFER ST,LOW,,,,,,8/3/2009,3,,,,
325361,27 PINE VALLEY DR,,MYRON ST,DRA,,,,,,8/4/2009,3,,,,
325374,,NASHUA RD,MAMMOTH RD,DRA,,,,,,8/6/2009,3,,,,
325376,,MERRIAM AVE,GROVE AVE,LEO,,,,,,8/12/2009,3,,,,
325377,90 LIVINGSTON AVE,,PRINCETON BLVD,LOW,,,,,,8/7/2009,3,,,,
325383,144 STEVENS ST,,PRINCETON BLVD,LOW,,,,,,8/7/2009,3,,,,
325396,33 CINDERELLA CIR,,HILDRETH ST,DRA,,,,,,8/7/2009,3,,,,
325402,95 STONEBRIDGE DR,,COLBURN AVE,DRA,,,,,,8/4/2009,3,,,,
325422,133 PHIPPS ST,,PAYNE ST,QUI,,,,,,8/11/2009,3,,,,
325425,47 MONTVIEW ST,,RAYNOR ST,LOW,,,,,,8/10/2009,3,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Essex Gas Company,
,,,,,,,,,,,,,,d/b/a National Grid,
LEAK_NO,REPORTED_HOUSE_NUMBER,REPORTED_STREET,REPORTED_CROSS_STREET,REPORTED_TOWN,REPAIR_NO,REPAIRED_HOUSE_NUMBER,REPAIRED_STREET,REPAIRED_CROSS_STREET,REPAIRED_TOWN,REPORTED_DATE,CLASS_CURRENT,REPAIRED_DATE,LEAK_CAUSE,D.P.U. 15-SQ-07,
325427,16,FOWLER ST,WASHINGTON ST,QUI,,,,,,8/11/2009,3,,,,
325429,398,PRINCETON BLVD,PINE ST,LOW,,,,,,8/10/2009,3,,,Section 5,
325430,350,PRINCETON BLVD,WEBBER ST,LOW,,,,,,8/10/2009,3,,,,
325433,747,WESTFORD ST,TYLER PIKE,LOW,,,,,,8/10/2009,3,,,Attachment 1,
325434,446,MOUNTAIN AVE,VIVIEN ST,REV,,,,,,8/13/2009,3,,,,
325436,438,MOUNTAIN AVE,VIVIEN ST,REV,,,,,,8/13/2009,3,,,Page 52 of 106,
325437,34,SANDERS AVE,ASHLAND ST,LOW,,,,,,8/10/2009,2,,,,
325438,488,MOUNTAIN AVE,MADISON ST,REV,,,,,,8/13/2009,3,,,,
325444,589,NORFOLK ST,BABSON ST,DOR,,,,,,8/7/2009,3,,,,
325450,,CENTRE ST,ALLANDALE ST,JPL,,,,,,8/12/2009,3,,,,
325454,,BAY STATE RD,GRANBY ST,BOS,,,,,,7/15/2009,3,,,,
325455,474 BROOKLINE AVE,,FRANCIS ST,BOS,,,,,,6/19/2009,3,,,,
325456,,COMMONWEALTH AVE,ARLINGTON ST,BOS,,,,,,6/18/2009,3,,,,
325458,,COMMONWEALTH AVE,CHARLESGATE ST E,BOS,,,,,,6/18/2009,3,,,,
325459,,COMMONWEALTH AVE,BERKELEY ST,BOS,,,,,,6/17/2009,3,,,,
325462,,PARKMAN ST,N GROVE ST,BOS,,,,,,6/17/2009,3,,,,
325469,20 DRAPER ST,,WESTVILLE ST,DOR,,,,,,7/13/2009,3,,,,
325470,3 FAIRFAX ST,,CARRUTH ST,DOR,,,,,,6/3/2009,3,,,,
325472,16 MASCOT ST,,JONES AVE,DOR,,,,,,7/15/2009,3,,,,
325476,,BLUE HILL AVE,RIVER ST,DOR,,,,,,4/24/2009,3,,,,
325477,5 MSGR PATRICK J LYDON WAY,,DORCHESTER AVE,DOR,,,,,,6/17/2009,3,,,,
325478,11 SAGAMORE ST,,SAVIN HILL AVE,DOR,,,,,,7/14/2009,3,,,,
325481,268 SAVIN HILL AVE,,WEDMORE ST,DOR,,,,,,6/3/2009,3,,,,
325484,852 SALEM ST,,MILTON ST,MAL,,,,,,8/12/2009,3,,,,
325485,110 PROCTOR AVE,,B ST,REV,,,,,,8/14/2009,3,,,,
325486,601 MOUNTAIN AVE,,AMASA ST,REV,,,,,,8/14/2009,3,,,,
325488,533 PROCTOR AVE,,AMASA ST,REV,,,,,,8/14/2009,3,,,,
325493,45 HOMESTEAD ST,,HAROLD ST,ROX,,,,,,7/20/2009,3,,,,
325525,,PLEASANT ST,BRIDGE ST,WAT,,,,,,8/14/2009,3,,,,
325531,105 GREENFIELD RD,,ROSEBERRY RD,DOR,,,,,,7/14/2009,3,,,,
325533,,BEACON ST,GEORGIA DR,BUR,,,,,,8/14/2009,3,,,,
325554,,BLUE LEDGE DR,CEDAR DR,ROS,,,,,,7/23/2009,3,,,,
325567,1650 SOLDIERS FIELD ROAD EXT,,SOLDIERS FIELD PL,BRI,,,,,,8/10/2009,3,,,,
325568,,HAMMOND ST,HAMMOND POND PKY,BRO,,,,,,8/14/2009,3,,,,
325570,156 WARREN ST,,S FURNESS ST,REV,,,,,,8/17/2009,3,,,,
325583,66 NIGHTINGALE AVE,,ROBERTS ST,QUI,,,,,,8/12/2009,3,,,,
325593,3 KING ST,,LOWELL ST,PEA,,,,,,8/7/2009,3,,,,
325594,24 KING ST,,ELLSWORTH RD,PEA,,,,,,8/7/2009,3,,,,
325606,1237 MAIN ST,,THEATER COLONY LN,SYA,,,,,,8/16/2009,3,,,,
325613,5 GRANT AVE,,WHITE ST,BEL,,,,,,5/22/2009,3,,,,
325615,,SCHOOL ST,EASTERN AVE,LEX,,,,,,4/22/2009,3,,,,
325626,169 FRANKLIN ST,,SHORNECLIFFE RD,NEW,,,,,,6/25/2009,3,,,,
325632,79 BEDFORD ST,,HUMBOLDT AVE,BUR,,,,,,8/17/2009,3,,,,
325644,48 EDGERLY PL,,WINCHESTER ST,BOS,,,,,,7/29/2009,3,,,,
325646,,EVANS WAY,TETLOW ST,BOS,,,,,,7/28/2009,3,,,,
325647,20 EVANS WAY,,LOUIS PRANG ST,BOS,,,,,,7/28/2009,3,,,,
325649,77 LOUIS PASTEUR AVE,,FENWAY ST,BOS,,,,,,7/28/2009,3,,,,
325650,,PILGRIM RD,LONGWOOD AVE,BOS,,,,,,7/27/2009,3,,,,
325653,376 VANE ST,,DALE ST,REV,,,,,,8/18/2009,3,,,,
325654,838 HUMPHREY ST,,ORCHARD CIR,SWA,,,,,,7/30/2009,3,,,,
325697,4 HAZELWOOD ST,,COBURN ST,MAL,,,,,,8/18/2009,3,,,,
325709,,RIDGEWAY RD,BULLARD RD,WES,,,,,,6/26/2009,3,,,,
325710,44 SCHOOL ST,,STATE RD,WES,,,,,,6/25/2009,3,,,,
325749,5 LAWS BROOK RD,,COMMONWEALTH AVE,CON,,,,,,7/27/2009,3,,,,
325761,15 OLD SUDBURY RD,,M B T A RAILROAD,LIN,,,,,,7/10/2009,3,,,,
325778,151 SCHOOL ST,,BELGRADE ST,REV,,,,,,8/21/2009,3,,,,
325779,35 MCCLURE ST,,ROBERT RD,REV,,,,,,8/21/2009,3,,,,
325794,425 WASHINGTON ST,,GILBERT AVE,HAV,,,,,,8/24/2009,3,,,,
325800,9 HOLYOKE ST,,CLIVE ST,QUI,,,,,,8/21/2009,3,,,,
325811,77 BAXTER ST,,UNION ST,QUI,,,,,,8/6/2009,3,,,,
325812,50 STEWART ST,,GRAHAM TER,QUI,,,,,,8/6/2009,3,,,,
325813,60 STEWART ST,,GRAHAM TER,QUI,,,,,,8/6/2009,3,,,,
325814,107 GODDARD ST,,VERCHILD ST,QUI,,,,,,8/7/2009,3,,,,
325815,35 PLYMOUTH ST,,VERCHILD ST,QUI,,,,,,8/7/2009,3,,,,
325816,139 FEDERAL AVE,,INDEPENDENCE AVE,QUI,,,,,,8/7/2009,3,,,,
325888,,OLD SOUTH ST,SOUTH ST,WAL,,,,,,8/27/2009,3,,,,
325906,,POWELL ST,PARKER ST,LOW,,,,,,8/17/2009,3,,,,
325909,263 WILDER ST,,MIDDLESEX ST,LOW,,,,,,8/20/2009,3,,,,
325912,7 SANDBERG RD,,TERCENTENNIAL DR,BIL,,,,,,8/20/2009,3,,,,
325922,67 LYNNFIELD ST,,NORFOLK AVE,PEA,,,,,,8/14/2009,3,,,,
325935,55 SAMMET ST,,SUFFOLK ST,MAL,,,,,,8/27/2009,3,,,,
325939,91 ARLENE RD,,PEVEY ST,LOW,,,,,,8/21/2009,3,,,,
325942,161 WALKER ST,,BERTHA ST,LOW,,,,,,8/21/2009,3,,,,
325946,84 SCHOOL ST,,PAWTUCKET ST,LOW,,,,,,8/27/2009,3,,,,
325997,,EVERETT PAINE BLVD,ROBERT RD,MAR,,,,,,8/28/2009,3,,,,
326001,8 EVANS RD,,MARGIN ST,PEA,,,,,,8/28/2009,3,,,,
326003,12 NEWCASTLE RD,,MARGIN ST,PEA,,,,,,7/28/2009,3,,,,
326010,28 ELDRIDGE RD,,WACHUSETT ST,JPL,,,,,,8/31/2009,3,,,,
326116,237 ALBANY ST,,LEHIGH ST,BOS,,,,,,9/2/2009,3,,,,
326162,13 SPARROW ST,,SHAW ST,WRO,,,,,,9/3/2009,3,,,,
326172,109 THORNTON ST,,SHIRLEY AVE,REV,,,,,,9/3/2009,3,,,,
326185,183 MAIN ST,,GROVELAND COMMONS,GVL,,,,,,8/10/2009,3,,,,
326195,32 WEBSTER ST,,BROADWAY,EVE,,,,,,9/3/2009,3,,,,
326196,7 LEBANON ST,,SWAINS POND AVE,MEL,,,,,,9/7/2009,3,,,,
326198,89 BELL ROCK ST,,REGENT RD,MAL,,,,,,9/3/2009,3,,,,
326225,56 TUMELTY RD,,JUDITH RD,PEA,,,,,,9/2/2009,3,,,,
326245,130 REVERE ST,,POMONA ST,REV,,,,,,9/8/2009,3,,,,
326252,20 MCKINLEY ST,,REVERE ST,REV,,,,,,9/9/2009,3,,,,
326260,11 GARDNER ST,,PULASKI ST,PEA,,,,,,9/2/2009,3,,,,
326262,261 CHESTNUT ST,,LORAINE ST,LNF,,,,,,9/4/2009,3,,,,
326275,17 MEDFORD ST,,HOWARD ST,MAL,,,,,,9/9/2009,3,,,,
326277,155 MIDDLESEX TPKE,,4TH AVE,BUR,,,,,,9/8/2009,3,,,,
326290,29 COURIER ST,,DELIA WALKER AVE,WEY,,,,,,8/7/2009,3,,,,
326301,39 RICHIE RD,,FRANKLIN ST,QUI,,,,,,8/10/2009,3,,,,
326302,38 ALTON RD,,KENDRICK AVE,QUI,,,,,,8/10/2009,3,,,,
326303,185 KENDRICK AVE,,MADISON AVE,QUI,,,,,,8/10/2009,3,,,,
326304,503 WASHINGTON ST,,GERMAIN AVE,QUI,,,,,,8/10/2009,3,,,,
326306,33 SUMMIT AVE,,S CENTRAL AVE,QUI,,,,,,9/3/2009,3,,,,
326311,192 KENDRICK AVE,,MADISON AVE,QUI,,,,,,8/11/2009,3,,,,
326314,149 S WALNUT ST,,OAK ST,QUI,,,,,,8/11/2009,3,,,,
326316,73 S WALNUT ST,,ATHERTON ST,QUI,,,,,,8/11/2009,3,,,,
326317,23 PAYNE ST,,MADISON AVE,QUI,,,,,,8/11/2009,3,,,,
326320,444 WASHINGTON ST,,ABBEY RD,QUI,,,,,,8/12/2009,3,,,,
326322,432 WASHINGTON ST,,ABBEY RD,QUI,,,,,,8/12/2009,3,,,,
326327,111 CENTRE ST,,KENT ST,QUI,,,,,,8/12/2009,3,,,,
326328,69 ROBERTS ST,,NIGHTINGALE AVE,QUI,,,,,,8/12/2009,3,,,,
326330,79 GARFIELD ST,,SMITH ST,QUI,,,,,,8/12/2009,3,,,,
326332,28 ARTHUR ST,,GARFIELD ST,QUI,,,,,,8/13/2009,3,,,,
326333,32 ARTHUR ST,,GARFIELD ST,QUI,,,,,,8/13/2009,3,,,,
326334,61 COPELAND ST,,GARFIELD ST,QUI,,,,,,8/13/2009,3,,,,
326335,86 COPELAND ST,,BUCKLEY ST,QUI,,,,,,8/13/2009,3,,,,
326337,11 SULLIVAN RD,,WEST ST,QUI,,,,,,8/13/2009,3,,,,
326338,78 COLUMBIA ST,,PLAIN ST,QUI,,,,,,8/13/2009,3,,,,
326354,45 BAY RD,,SEARS ST,REV,,,,,,9/10/2009,3,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Essex Gas Company,
,,,,,,,,,,,,,,d/b/a National Grid,
LEAK_NO,REPORTED_HOUSE_NUMBER,REPORTED_STREET,REPORTED_CROSS_STREET,REPORTED_TOWN,REPAIR_NO,REPAIRED_HOUSE_NUMBER,REPAIRED_STREET,REPAIRED_CROSS_STREET,REPAIRED_TOWN,REPORTED_DATE,CLASS_CURRENT,REPAIRED_DATE,LEAK_CAUSE,D.P.U. 15-SQ-07,
326357,,6 CORMIER RD,EUGENE RD,BUR,,,,,,9/10/2009,3,,,,
326367,,6 HARRINGTON AVE,LYNNWAY ST,REV,,,,,,9/10/2009,3,,,Section 5,
326370,,SHORT ST,ASH ST,COH,,,,,,9/8/2009,3,,,,
326371,121 HALE ST,,HOWARD ST,LOW,,,,,,8/18/2009,3,,,Attachment 1,
326372,609 ADAMS ST,,THERESA RD,QUI,,,,,,9/8/2009,3,,,,
326373,,YMCA DR,THORNDIKE ST,LOW,,,,,,8/18/2009,3,,,Page 53 of 106,
326380,12 LYNN AVE,,NEWPORT RD,HUL,,,,,,8/14/2009,3,,,,
326381,300 GRANITE ST,,KIDDER ST,QUI,,,,,,8/17/2009,3,,,,
326385,25 GARFIELD ST,,QUARRY ST,QUI,,,,,,8/17/2009,3,,,,
326388,166 PRESIDENTS LN,,MONROE RD,QUI,,,,,,8/18/2009,3,,,,
326389,295 BROADWAY,,COTTAGE ST,MAL,,,,,,9/9/2009,3,,,,
326390,179 PRESIDENTS LN,,MONROE RD,QUI,,,,,,8/18/2009,3,,,,
326392,251 BROADWAY,,WAITE ST,MAL,,,,,,9/8/2009,3,,,,
326393,231 PRESIDENTS LN,,LAWTON RD,QUI,,,,,,8/18/2009,3,,,,
326395,241 PRESIDENTS LN,,LAWTON RD,QUI,,,,,,8/18/2009,3,,,,
326396,117 DIXWELL AVE,,WHITWELL ST,QUI,,,,,,8/18/2009,3,,,,
326397,101 MONROE RD,,FAIRMOUNT WAY,QUI,,,,,,8/19/2009,3,,,,
326398,109 MONROE RD,,FAIRMOUNT WAY,QUI,,,,,,8/19/2009,3,,,,
326399,131 MONROE RD,,DIMMOCK ST,QUI,,,,,,8/19/2009,3,,,,
326401,156 MONROE RD,,DIXWELL AVE,QUI,,,,,,8/19/2009,3,,,,
326403,180 MONROE RD,,PRESIDENTS LN,QUI,,,,,,8/19/2009,3,,,,
326405,50 COMMON ST,,FAIRVIEW RD,QUI,,,,,,8/20/2009,3,,,,
326424,11 REARDON ST,,COMMON ST,QUI,,,,,,8/20/2009,3,,,,
326425,22 REARDON ST,,BARRY ST,QUI,,,,,,8/20/2009,3,,,,
326426,42 MOUNT VERNON ST,,QUARRY ST,QUI,,,,,,8/20/2009,3,,,,
326427,30 MOUNT VERNON ST,,QUARRY ST,QUI,,,,,,8/20/2009,3,,,,
326429,,9 COMMON ST,HILLTOP ST,QUI,,,,,,8/21/2009,3,,,,
326430,29 COMMON ST,,HILLTOP ST,QUI,,,,,,8/21/2009,3,,,,
326440,,GRAND AVE,VERNON AVE,FAH,,,,,,9/8/2009,3,,,,
326445,265 PALMER AVE,,DAVIS RD,FAL,,,,,,9/10/2009,3,,,,
326450,12 DOLPHIN AVE,,ATLANTIC AVE,REV,,,,,,9/14/2009,3,,,,
326492,,DRESSER HILL RD 2 N,BAKER POND RD,DUD,,,,,,5/8/2009,3,,,,
326494,,DRESSER HILL RD 2 N,DRESSER HILL RD,DUD,,,,,,5/8/2009,3,,,,
326495,,DUDLEY OXFORD RD,RAMSHORN RD,DUD,,,,,,5/8/2009,3,,,,
326496,302 DUDLEY SOUTHBRIDGE RD,,MAYNARD RD,DUD,,,,,,5/8/2009,3,,,,
326520,53 WHEELER ST,,BRENTWOOD ST,MAL,,,,,,9/15/2009,3,,,,
326543,259 CAMBRIDGE ST,,MAYFLOWER ST,BRI,,,,,,9/11/2009,3,,,,
326546,927 BOYLSTON ST,,RESERVOIR RD,BRO,,,,,,9/15/2009,3,,,,
326551,165 WEST ST,,HAYDEN ST,QUI,,,,,,8/28/2009,3,,,,
326552,164 WEST ST,,HAYDEN ST,QUI,,,,,,8/28/2009,3,,,,
326553,194 WEST ST,,TRASK AVE,QUI,,,,,,8/28/2009,3,,,,
326554,12 WALPOLE ST,,ELM ST,QUI,,,,,,8/28/2009,3,,,,
326555,163 SUOMI RD,,TINSON RD,QUI,,,,,,8/28/2009,3,,,,
326559,194 MERRYMOUNT RD,,SAMOSET AVE,QUI,,,,,,8/27/2009,3,,,,
326566,,5TH ST,SCHOOL ST,WEB,,,,,,9/8/2009,3,,,,
326567,129 E MAIN ST,,PARADIS LN,WEB,,,,,,5/7/2009,3,,,,
326568,730 SCHOOL ST,,OVERLOOK AVE,WEB,,,,,,5/6/2009,3,,,,
326571,173 E MAIN ST,,RIDGE RD,WBR,,,,,,5/5/2009,3,,,,
326572,125 E MAIN ST,,JOHN PRICHARD LN,WBR,,,,,,5/5/2009,3,,,,
326582,148 BERRY AVE,,WATER ST,WYA,,,,,,9/16/2009,3,,,,
326633,174 SIPPEWISSETT RD,,SPINDRIFT HILL,FAL,,,,,,9/17/2009,3,,,,
326636,196 GOVERNORS RD,,UPTON ST,QUI,,,,,,8/24/2009,3,,,,
326637,207 PLYMOUTH AVE,,UNITY ST,QUI,,,,,,8/24/2009,3,,,,
326638,26 MORTON ST,,COMMON ST,QUI,,,,,,8/24/2009,3,,,,
326640,,3 DAYTON ST,JENNESS ST,QUI,,,,,,8/24/2009,3,,,,
326655,,CLARKE ST,CLIFF ST,SOU,,,,,,9/17/2009,3,,,,
326669,249 BOSTON ST,,HIGH ST,TOP,,,,,,9/21/2009,3,,,,
326685,211 CLIFTON ST,,CEDAR ST,MAL,,,,,,9/22/2009,3,,,,
326688,106 WASHINGTON ST,,MCGRATH HWY,QUI,,,,,,8/27/2009,3,,,,
326690,128 WASHINGTON ST,,BIGELOW ST,QUI,,,,,,8/27/2009,3,,,,
326692,134 WASHINGTON ST,,BIGELOW ST,QUI,,,,,,8/27/2009,3,,,,
326694,,4 GEORGIA DR,,BUR,,,,,,9/19/2009,3,,,,
326695,20 HADLEY ST,,WASHINGTON ST,WEY,,,,,,8/25/2009,3,,,,
326698,,BROOK RD,CENTRE ST,MIL,,,,,,9/2/2009,3,,,,
326700,65 COOMBS ST,,CISCO ST,SOU,,,,,,9/8/2009,3,,,,
326706,83 ELM ST,,COVE RD,COH,,,,,,9/5/2009,3,,,,
326708,1000 SOUTHERN AR,,SOUTH ST,QUI,,,,,,9/10/2009,3,,,,
326709,97 EVERETT ST,,SUMMER ST,SOU,,,,,,9/9/2009,3,,,,
326717,14 MARR CREST DR,,CHERYL DR,MIL,,,,,,9/15/2009,3,,,,
326721,49 RED GATE LN,,FERN WAY,COH,,,,,,8/16/2009,3,,,,
326722,10 FOSTER ST,,PROVIDENCE,SOU,,,,,,9/18/2009,3,,,,
326723,,2 HEWES CIR,LIVINGSTON DR,PEA,,,,,,9/18/2009,3,,,,
326725,,HIGH ST,HIGH VIEW ST,SOU,,,,,,9/14/2009,3,,,,
326729,18 LOVELY ST,,WEST ST,SOU,,,,,,9/15/2009,3,,,,
326731,31 LOVELY ST,,WEST ST,SOU,,,,,,9/15/2009,3,,,,
326732,743 MAIN ST,,SAYLES ST,SOU,,,,,,9/16/2009,3,,,,
326734,87 MARGARET ST,,JENNISON ST,SOU,,,,,,8/27/2009,3,,,,
326736,162 MORRIS ST,,ARMORY LN,SOU,,,,,,9/9/2009,3,,,,
326748,114 RIVER ST,,CLIFF ST,SOU,,,,,,9/17/2009,3,,,,
326750,129 SAYLES ST,,SOUTH ST,SOU,,,,,,9/14/2009,3,,,,
326751,148 SAYLES ST,,DRESSER ST,SOU,,,,,,9/14/2009,3,,,,
326752,37 SOUTH ST,,MAIN ST,SOU,,,,,,9/15/2009,3,,,,
326754,,WOODYCREST AVE,HIGH ST,SOU,,,,,,9/14/2009,3,,,,
326758,10 CUSHING ST,,S MAIN ST,NBR,,,,,,9/22/2009,3,,,,
326760,18 S MAIN ST,,BATES ST,NBR,,,,,,9/22/2009,3,,,,
326787,12 LEWIS BAY RD,,SITKA LN,WYA,,,,,,9/24/2009,3,,,,
326821,591 HYDE PARK AVE,,HADWIN WAY,ROS,,,,,,9/27/2009,3,,,,
326830,24 FRANK BENNETT HWY,,MILDRED ST,SAU,,,,,,9/17/2009,3,,,,
326893,131 PAIGE HILL RD,,CLIFF ST,SOU,,,,,,9/21/2009,3,,,,
326894,31 GREEN ST,,ROSE ST,SOU,,,,,,9/21/2009,3,,,,
326896,560 WORCESTER ST,,VINTON ST,SOU,,,,,,9/21/2009,3,,,,
326917,38 NIAGARA LN,,PAWNEE RD,WYA,,,,,,9/29/2009,3,,,,
326919,11 NIAGARA LN,,SIOUX RD,WYA,,,,,,9/29/2009,3,,,,
326929,31 PALMER ST,,PLEASANT ST,WEY,,,,,,9/26/2009,3,,,,
326937,34 HARRIS ST,,CENTRE ST,PEA,,,,,,9/18/2009,3,,,,
326942,14 NELSON RD,,MARGIN ST,PEA,,,,,,9/21/2009,3,,,,
326944,19 VOKES TER,,MOULTON DR,LNF,,,,,,9/14/2009,3,,,,
326964,98 SUMMER ST,,ADAMS ST,NBR,,,,,,9/23/2009,3,,,,
326972,431 W WATER ST,,BROOKSIDE RD,ROC,,,,,,10/1/2009,3,,,,
326974,495 SOUTHERN AR,,FIELD ST,QUI,,,,,,10/1/2009,3,,,,
327005,37 PROSPECT ST,,SPRING ST,NBR,,,,,,9/23/2009,3,,,,
327007,1104 MAIN ST,,PROSPECT ST,WAR,,,,,,9/25/2009,3,,,,
327008,2230 MAIN ST,,CENTRAL ST,WAR,,,,,,9/28/2009,3,,,,
327138,95 BLANCHARD BLVD,,PINECREST RD,BRA,,,,,,10/6/2009,3,,,,
327144,112 PROSPECT ST,,WILLIAMS ST,ROC,,,,,,10/3/2009,3,,,,
327147,26 PILGRIM RD,,ADAMS ST,QUI,,,,,,10/3/2009,3,,,,
327180,12 WELLINGTON HILL ST,,BLUE HILL AVE,DOR,,,,,,9/7/2009,3,,,,
327185,21 WIGGLESWORTH ST,,TREMONT ST,ROX,,,,,,9/18/2009,3,,,,
327198,10 WINTER ST,,DES MOINES RD,QUI,,,,,,10/2/2009,3,,,,
327200,45 BRACKETT ST,,MCGRATH HWY,QUI,,,,,,10/7/2009,3,,,,
327201,,WILD HARBOR RD,RIDGE RD,NFA,,,,,,10/7/2009,3,,,,
327248,,2 N MARTIN RD,MARSHALL DR,AME,,,,,,10/9/2009,3,,,,
327252,11 HUNTERS CIR,,ANASTASIA RD,WYA,,,,,,10/12/2009,3,,,,
327267,,BLAINE AVE,W MAIN ST,EBR,,,,,,9/30/2009,3,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Essex Gas Company,
,,,,,,,,,,,,,,d/b/a National Grid,
LEAK_NO,REPORTED_HOUSE_NUMBER,REPORTED_STREET,REPORTED_CROSS_STREET,REPORTED_TOWN,REPAIR_NO,REPAIRED_HOUSE_NUMBER,REPAIRED_STREET,REPAIRED_CROSS_STREET,REPAIRED_TOWN,REPORTED_DATE,CLASS_CURRENT,REPAIRED_DATE,LEAK_CAUSE,D.P.U. 15-SQ-07,
327269,30 LEAHAVEN TER,,OLD COUNTRY WAY,BRA,,,,,,10/9/2009,3,,,,
327285,SOUTH ST,,E MAIN ST,EBR,,,,,,9/30/2009,3,,,Section 5,
327307,16 YALE ST,,CENTER ST,GVL,,,,,,10/11/2009,3,,,,
327316,216 NEWBURY ST,,WINONA ST,PEA,,,,,,10/12/2009,3,,,Attachment 1,
327325,847 MAIN ST,,LIBERTY POLE RD,HIN,,,,,,10/14/2009,3,,,,
327327,5 HERITAGE RD,,COLONIAL DR,QUI,,,,,,10/14/2009,3,,,Page 54 of 106,
327333,BRACKETT ST,,SOUTHERN AR,QUI,,,,,,10/14/2009,3,,,,
327334,39 ATLANTIC AVE,,WHITEHEAD RD,COH,,,,,,10/14/2009,3,,,,
327335,47 RIDGEWAY ST,,FRANKLIN AVE,QUI,,,,,,10/14/2009,3,,,,
