LEAK_NO,REPORTED_HOUSE_NUMBER REPORTED_STREET,REPORTED_CROSS_STREET,REPORTED_TOWN,REPAIR_NO,REPAIRED_HOUSE_NUMBER,REPAIRED_STREET,REPAIRED_CROSS_STREET,REPAIRED_TOWN,REPORTED_DATE,CLASS_CURRENT,REPAIRED_DATE,LEAK_CAUSE,,,
40509,MILLET ST,WHEATLAND AV,DOR,,,,,,7/26/1995,3,,,,,
40510,24 ALGONQUIN ST,,DOR,,,,,,7/26/1995,3,,,,,
40566,CALLENDER ST,DON ST,DOR,,,,,,7/13/1995,3,,,,,
40593,MAYFIELD ST,DORCHESTER AV,DOR,,,,,,9/12/1995,3,,,,,
40596,70 MAYFIELD ST,,DOR,,,,,,9/12/1995,3,,,,,
40636,1208 DORCHESTER AV,,DOR,,,,,,8/10/1995,3,,,,,
40661,61A DIX ST,,DOR,,,,,,,,,,,,
40684,2 SARGENT ST,,DOR,,,,,,9/7/1995,3,,,,,
40709,57 VIRGINIA ST,,DOR,,,,,,8/22/1995,3,,,,,
40719,559 DUDLEY ST,,DOR,,,,,,8/24/1995,3,,,,,
40720,591 DUDLEY ST,,DOR,,,,,,8/24/1995,3,,,,,
40725,714 DUDLEY ST,,DOR,,,,,,8/24/1995,3,,,,,
40726,16 JEROME ST,,DOR,,,,,,8/24/1995,3,,,,,
40757,614 GALLIVAN BLVD,RITA RD,DOR,,,,,,3/19/1992,2,,,,,
40917,E BERKELEY ST,TREMONT ST,BOS,,,,,,2/15/1993,3,,,,,
40930,31 STUART ST,,BOS,,,,,,6/8/1995,3,,,,,
40982,COLUMBUS AV,HOLYOKE ST,BOS,,,,,,7/30/1993,3,,,,,
41036,COMMONWEALTH AV,BERKELEY ST,BOS,,,,,,10/11/1994,3,,,,,
41058,CAMBRIDGE ST,LYNDE ST,BOS,,,,,,9/29/1995,3,,,,,
41112,15 BEACH AV,,SWA,,,,,,4/12/1995,3,,,,,
41147,48 STANLEY RD,SUMNER ST,SWA,,,,,,12/22/1992,3,,,,,
41153,974 HUMPHREY ST,FRANCIS RD,SWA,,,,,,2/6/1993,3,,,,,
41240,27 WESTLAND AV,,SAU,,,,,,6/2/1992,3,,,,,
41243,GRANDVIEW AV,PRATT ST,SAU,,,,,,5/29/1992,3,,,,,
41311,131 BOSTON ST,,SAL,,,,,,6/25/1992,3,,,,,
41360,40 PERLEY AV,,PEA,,,,,,7/15/1992,3,,,,,
41402,103 CENTRAL ST,,PEA,,,,,,10/12/1994,3,,,,,
41422,4 TULLY RD,ROBERT RD,MAR,,,,,,9/16/1994,3,,,,,
41446,2 TULLY RD,LAFAYETTE ST,MAR,,,,,,12/26/1991,3,,,,,
41458,30 THOMPSON RD,,MAR,,,,,,3/2/1993,3,,,,,
41461,32 PHILLIPS ST,ORCHARD ST,MAR,,,,,,1/2/1994,3,,,,,
41466,11 GALLISON AV,,MAR,,,,,,12/31/1993,3,,,,,
41480,24 LEICESTER RD,,MAR,,,,,,9/9/1994,3,,,,,
41517,15 WALLACE RD,,MAR,,,,,,12/13/1991,3,,,,,
41527,198 FAYS AV,LARCHMONT ST,LNN,,,,,,12/20/1992,3,,,,,
41541,155 LYNNFIELD ST,,LNN,,,,,,12/15/1991,3,,,,,
41546,2 MAYFAIR ST,,LNN,,,,,,8/16/1991,3,,,,,
41637,79 CARTER RD,,LNN,,,,,,8/13/1993,3,,,,,
41642,284 CHATHAM ST,,LNN,,,,,,10/24/1994,3,,,,,
41650,7 FALLS ST,,LNN,,,,,,8/11/1994,3,,,,,
41651,37 ATKINS AV,KINGSTON ST,LNN,,,,,,8/11/1994,3,,,,,
41673,517 ESSEX ST,,LNN,,,,,,10/4/1993,3,,,,,
41682,510 EASTERN AV,,LNN,,,,,,5/4/1995,3,,,,,
41701,15 GILBERT ST,,LNN,,,,,,5/18/1995,3,,,,,
41732,185 LOWELL ST,,LNF,,,,,,5/25/1995,3,,,,,
41820,165 FOREST HILL AV,,LNF,,,,,,7/1/1992,3,,,,,
41822,674 MAIN ST,,LNF,,,,,,7/8/1992,3,,,,,
41847,14 EASTERN POINT RD,,GLO,,,,,,9/28/1993,3,,,,,
41918,167 BRIDGE ST,LINDSEY AV,BEV,,,,,,6/2/1993,3,,,,,
41944,27 SQUANTO RD,,WOB,,,,,,8/29/1991,3,,,,,
,,,,,,,,,,,,,,,
41990,363 LEXINGTON ST,,RYDER RD,WOB,,,,,,12/30/1992,3,,,,
42039,HANCOCK ST,,HIGHLAND AV,WNC,,,,,,1/23/1995,3,,,Section 5,
42089,51 MYSTIC VALLEY PKWY,,,WNC,,,,,,9/10/1991,3,,,,
42122,282 MAIN ST,,,WNC,,,,,,10/4/1989,3,,,Attachment 1,
42157,384 GLEN RD,,,WES,,,,,,12/9/1993,3,,,,
42174,276 DALE ST,,,WAL,,,,,,9/16/1994,3,,,Page 2 of 106,
42211,79 MARLBOROUGH RD,,,WAL,,,,,,7/11/1995,3,,,,
42222,1191 MAIN ST,,SHERIDAN ST,WAL,,,,,,6/29/1995,3,,,,
42241,OLD MEADOW RD,,BENT RD,SUD,,,,,,11/6/1991,3,,,,
42249, P8/9 AUDUBON RD,,,WAK,,,,,,11/12/1994,3,,,,
42258,333 LINCOLN ST,,BLOSSOM ST,WAL,,,,,,11/6/1995,3,,,,
42311,656 BOSTON POST RD,,,SUD,,,,,,5/14/1992,3,,,,
42428,72 WOBURN ST,,,RDG,,,,,,6/18/1992,3,,,,
42432,20 COPELAND AV,,,RDG,,,,,,6/17/1992,3,,,,
42441,14 GROVE ST,,,RDG,,,,,,9/13/1991,3,,,,
42479,52 SEWALL ST,,,NEW,,,,,,10/22/1990,3,,,,
42522,3 COLUMBUS ST,,,NEW,,,,,,5/21/1993,3,,,,
42571,1418 COMMONWEALTH AV,,DARTMOUTH ST,NEW,,,,,,7/7/1995,3,,,,
42619,102 BOYD ST,,JEWETT ST,NEW,,,,,,2/15/1992,3,,,,
42649,CLAREMONT ST,,LOMBARD ST,NEW,,,,,,3/3/1993,3,,,,
42686,RAVINE RD,,WYOMING AV,MEL,,,,,,1/26/1995,3,,,,
42817,62 MAIN ST,,,MEL,,,,,,4/23/1990,3,,,,
42835,167 LEBANON ST,,,MEL,,,,,,2/27/1992,3,,,,
43133,921 MAIN ST,,,MAL,,,,,,12/19/1994,3,,,,
43161,SALEM ST,,BELLVALE ST,MAL,,,,,,10/10/1995,3,,,,
43183,33 WINTER ST,,,LIN,,,,,,1/9/1995,3,,,,
43187,19 TRAPELO RD,,,LIN,,,,,,4/27/1995,3,,,,
43188,101 GOLDSMITH ST,,,LIT,,,,,,6/27/1995,3,,,,
43195,26 FLETCHER LN,,,LIT,,,,,,6/29/1992,3,,,,
43355,45 HIGHLAND AV,,,EVE,,,,,,7/6/1995,3,,,,
43363,121 IRVING ST,,,EVE,,,,,,7/26/1995,3,,,,
43427,533 LEXINGTON RD,,,CON,,,,,,8/13/1993,3,,,,
43634,99 FLETCHER RD,,,BED,,,,,,12/6/1990,3,,,,
43662,22 JACKSON ST,,,AYE,,,,,,5/19/1992,3,,,,
43672,14 PAUL REVERE RD,,,BED,,,,,,5/25/1995,3,,,,
43797,42 CENTRAL ST,,,ACT,,,,,,10/22/1990,3,,,,
43799,36 GREAT RD,,,ACT,,,,,,10/30/1990,3,,,,
43829,62 HOGG MEMORIAL DR,,,WHI,,,,,,3/29/1995,3,,,,
43831,45 HARVEY LN,,,WHI,,,,,,10/3/1994,3,,,,
43857,WILLOW ST,,HOMESTEAD ST,ACT,,,,,,10/29/1991,3,,,,
43858,2 FOX HILL RD,,GIOCONDA RD,ACT,,,,,,4/14/1993,3,,,,
43865,DUGGAN RD,,TOWNSEND RD,ACT,,,,,,10/2/1990,3,,,,
43866,24 AGAWAM RD,,SENECA RD,ACT,,,,,,9/12/1990,3,,,,
43871,JOHN BURKE DR,,W WATER ST,ROC,,,,,,3/16/1992,3,,,,
44044,6 CLARK RD,,,HIN,,,,,,8/28/1991,3,,,,
93170,BROOKSIDE PKWY,,NEWPORT AV,MED,,,,,,12/19/1990,3,,,,
93176,4 THORNDIKE ST,,PEARL ST,RDG,,,,,,2/28/1991,3,,,,
93178,17 HARTWELL AV,,,LEX,,,,,,3/7/1991,3,,,,
93203,115 WOODSIDE RD,,,SUD,,,,,,11/6/1991,3,,,,
93219,52 ORCHARD ST,,MANSION RD,MAR,,,,,,1/3/1992,3,,,,
93221,43 WEST ST,,RUBY AV,MAR,,,,,,1/9/1992,3,,,,
93297,57 ORCHARD ST,,BEACH ST,MAR,,,,,,2/3/1993,3,,,,
93300,15 ERNEST ST,,,SAU,,,,,,2/11/1993,3,,,,
93305,10 LAUREL ST,,,SAU,,,,,,3/2/1993,3,,,,
93331,FULTON ST,,BROADWAY,MAL,,,,,,8/11/1993,3,,,,
93412,40 COMMONWEALTH RD,,E PLAIN ST,WAY,,,,,,7/25/1994,3,,,,
