ids_2014,ids_2015
127639,127639
127843,127843
127825,127825
127818,127818
127820,127820
128282,128282
127927,127927
127929,127929
128064,128064
127972,127972
128067,128067
128097,128097
128100,128100
128103,128103
128237,128237
128227,128227
128331,128331
129024,129024
128572,128572
129296,129296
128889,128889
128902,128902
128903,128903
129117,129117
129115,129115
129282,129282
129221,129221
129240,129240
129253,129253
129267,129267
129232,129232
129531,129531
129431,129431
129757,129757
129542,129542
129687,129687
129612,129612
129688,129688
129677,129677
129881,129881
129917,129917
129918,129918
130014,130014
130272,130272
130150,130150
130005,130005
130268,130268
130108,130108
130250,130250
130730,130730
130339,130339
130340,130340
130673,130673
130403,130403
130692,130692
130842,130842
130843,130843
131087,131087
130910,130910
131547,131547
131378,131378
143900,143900
144061,144061
144759,144759
145078,145078
145226,145226
146035,146035
146580,146580
146856,146856
147419,147419
147625,147625
156760,156760
148184,148184
148217,148217
148158,148158
148195,148195
148540,148540
148887,148887
148656,148656
148660,148660
148835,148835
148906,148906
148933,148933
148793,148793
148798,148798
149415,149415
149028,149028
149140,149140
149340,149340
149176,149173
149175,149173
149174,149173
149173,149173
149178,149178
149205,149205
149217,149217
149236,149236
149262,149262
149249,149249
149383,149383
149790,149790
149958,149958
150137,150137
151038,151038
150095,150095
150139,150139
150402,150402
150144,150144
150152,150152
150431,150431
150643,150643
150979,150979
151475,151475
151583,151583
151830,151830
152889,152889
152611,152611
153003,153003
152984,152984
153000,153000
152351,152351
152528,152528
152895,152895
152529,152529
152530,152530
152789,152789
152828,152828
189402,189402
152980,152980
191257,191257
153128,153128
191092,191092
153550,153550
190663,190663
155801,155801
190680,190680
155670,155670
153481,153481
153591,153591
153670,153670
153595,153595
154058,154058
154059,154059
153997,153997
153812,153812
153989,153989
153993,153993
153808,153808
154282,154282
154213,154213
155810,155810
154296,154296
154478,154478
154565,154565
154540,154540
154541,154541
154544,154544
154584,154584
155540,155540
155820,155820
154896,154896
155210,155210
155089,155089
155095,155095
156540,156540
155203,155203
155197,155197
155199,155199
155508,155508
156765,156765
155388,155388
155926,155926
155770,155770
155643,155643
155722,155722
155804,155804
156723,156723
156396,156396
156335,156335
156279,156279
156332,156332
156321,156321
156397,156397
156547,156547
156541,156541
156581,156581
195505,195505
156745,156745
156754,156754
336070,336070
159223,159223
156913,156913
156944,156944
157066,157066
157071,157071
157078,157078
157297,157297
158448,158448
157354,157354
157452,157452
157853,157853
157660,157660
157982,157982
158106,158106
158701,158701
158580,158580
158807,158807
158778,158778
158783,158783
158789,158789
159157,159157
159508,159508
160149,160149
161438,161438
160976,160976
161096,161096
161168,161168
161436,161436
161395,161395
189384,189384
190082,190082
189437,189437
190526,190526
189464,189464
189442,189442
190846,190846
189591,189591
269446,269446
190220,190220
190391,190391
190397,190397
190851,190851
190547,190547
190551,190551
190555,190555
190878,190878
190617,190617
190870,190870
191729,191729
190994,190994
190798,190798
190800,190800
190650,190650
190837,190837
191196,191196
212551,212551
190953,190953
191397,191397
191003,191003
191194,191194
191195,191195
191400,191400
191071,191071
191204,191204
191205,191205
191412,191412
191209,191209
191236,191236
191612,191612
336357,336357
191447,191447
191623,191623
191375,191375
191938,191938
191682,191682
191764,191764
191980,191980
191981,191981
191811,191811
191959,191959
192611,192611
192090,192090
192029,192029
192316,192316
192600,192600
192462,192462
192471,192471
192472,192472
192325,192325
192476,192476
192584,192584
192435,192435
192944,192944
192964,192964
192693,192693
192736,192736
192663,192663
263908,263908
192961,192961
193105,193105
192866,192866
192868,192868
193039,193039
193167,193167
193522,193522
193020,193020
193567,193567
193614,193614
193574,193574
194820,194820
193258,193258
193267,193267
193346,193346
193514,193514
193681,193681
193794,193794
194902,194902
194048,194048
194928,194928
194932,194932
194255,194255
194261,194261
194611,194611
194372,194372
194347,194347
194453,194453
194681,194681
194762,194762
196062,196062
196061,196061
195208,195208
195218,195218
196033,196033
195987,195987
196029,196029
195266,195266
195272,195272
195273,195273
195362,195362
195311,195311
230384,230384
196046,196046
195341,195341
195346,195346
195474,195474
195481,195481
195557,195557
195477,195477
195596,195596
195599,195599
196024,196024
196767,196767
197377,197377
196150,196150
196172,196172
196518,196517
196517,196517
196518,196518
196517,196518
198808,198808
197006,197006
196716,196716
197183,197183
197349,197349
197011,197011
197474,197474
197081,197081
197414,197414
197368,197368
198799,198799
197229,197229
197587,197587
198259,198259
197871,197871
199047,199047
197650,197650
197878,197842
197842,197842
197856,197856
197841,197841
198145,198145
198177,198177
197986,197986
198229,198229
198867,198867
198260,198260
198681,198681
198868,198868
198946,198946
198954,198954
199155,199155
199159,199159
199161,199161
198697,198697
198700,198700
198897,198897
198689,198689
199053,199053
198974,198974
198993,198993
198717,198717
198875,198875
198886,198886
199015,199015
199016,199016
198983,198983
199075,199075
199621,199621
199424,199424
199344,199343
199343,199343
199344,199344
199343,199344
199467,199467
199401,199401
199471,199471
199449,199449
210585,210585
200224,200224
200228,200228
200260,200260
200429,200429
200660,200660
200664,200664
200553,200553
200592,200592
200783,200783
200629,200629
200867,200867
201137,201137
201132,201132
201143,201143
210463,210463
210461,210461
210557,210557
210564,210564
210558,210558
210538,210538
210911,210911
211975,211975
211083,211083
211540,211540
212241,212241
211544,211544
211547,211547
212252,212252
212644,212644
212445,212445
212671,212671
213368,213368
213752,213752
213963,213963
214112,214112
214522,214522
214523,214523
214580,214580
214948,214948
214934,214934
214930,214930
215270,215270
215405,215405
215406,215406
215403,215403
215499,215499
215641,215641
215545,215545
215548,215548
215910,215910
215722,215722
215728,215728
215737,215737
215744,215744
215751,215751
215901,215901
215637,215637
215826,215826
215873,215873
215937,215937
215938,215938
215930,215930
215931,215931
215971,215971
216080,216080
216148,216148
229824,229824
216153,216153
216163,216163
216371,216371
216450,216450
216246,216246
216254,216254
216309,216309
216335,216335
216586,216586
216376,216376
216391,216391
216400,216400
216566,216566
229823,229823
216703,216703
216704,216704
216959,216959
217052,217052
336066,336066
217856,217856
217293,217293
217117,217117
227980,227980
217312,217312
220137,220137
217323,217323
217219,217219
217432,217432
217433,217433
217426,217426
217539,217539
217516,217516
217517,217517
217786,217786
217720,217720
217722,217722
217471,217471
217658,217658
217724,217724
217581,217581
217732,217732
217726,217726
217784,217784
217826,217826
218080,218080
218082,218082
218400,218400
218402,218402
229319,229319
219018,219018
218927,218927
219119,219119
219350,219350
223394,223394
223177,223177
223229,223229
219545,219545
223232,223232
223435,223435
219654,219654
219655,219655
223114,223114
219754,219754
219755,219755
219706,219706
223535,223535
219870,219870
223554,223554
219806,219806
219984,219984
219985,219985
229638,229638
219913,219913
220179,220179
230055,230055
223138,223138
220188,220188
220189,220189
220310,220310
220368,220368
220289,220289
220340,220340
220178,220178
220285,220285
220341,220341
220668,220668
220517,220517
220526,220526
223434,223434
223620,223620
221243,221243
221250,221250
223350,223350
220857,220857
220779,220779
223432,223432
221252,221252
220851,220851
220852,220852
220856,220856
220870,220870
220743,220743
220791,220791
223415,223415
221032,221032
221056,221056
221254,221254
225197,225197
220899,220899
221074,221074
221082,221082
227605,227605
221216,221216
221447,221447
221442,221442
221443,221443
221356,221356
221365,221365
221366,221366
221672,221672
337936,337936
221517,221517
221730,221730
222113,222113
222013,222013
221863,221863
221875,221875
221890,221890
221864,221864
221957,221957
221976,221976
222007,222007
222098,222098
222202,222202
222438,222438
222439,222439
222441,222441
223034,223034
223025,223025
223355,223355
223388,223388
223629,223629
223651,223651
223910,223910
223892,223892
223899,223899
223879,223879
223894,223894
224071,224071
224358,224358
224344,224344
224775,224775
224836,224836
225022,225022
225285,225285
225330,225330
225629,225629
226358,226358
226034,226034
225915,225915
226040,226040
226033,226033
225868,225868
226387,226387
226110,226110
226372,226372
226772,226772
227231,227231
226706,226706
227016,227016
227012,227012
227890,227890
227653,227653
227668,227668
227415,227415
227422,227422
227354,227354
227651,227651
227666,227666
227632,227632
227438,227438
227746,227746
227748,227748
227764,227764
230386,230386
227573,227573
227711,227711
227706,227706
227559,227559
227962,227962
232622,232622
227798,227798
228040,228040
228227,228227
228450,228450
228716,228716
263925,263925
229048,229048
229282,229282
229283,229283
229405,229405
229513,229513
229606,229606
230368,230368
229749,229749
230838,230838
230842,230842
231156,231156
229899,229899
230000,230000
229957,229957
229894,229894
229902,229902
230412,230412
230922,230922
230923,230923
231034,231034
230256,230256
230257,230257
230446,230446
230433,230433
230466,230466
230524,230524
230720,230720
230727,230727
230732,230732
231222,231222
230892,230892
230912,230912
230583,230583
230946,230946
230947,230947
230612,230612
230613,230613
230882,230882
230907,230907
230879,230879
230871,230871
230873,230873
230811,230811
230971,230971
230972,230972
231224,231224
254973,254973
230801,230801
230981,230981
231002,231002
231004,231004
231377,231377
231378,231378
231380,231380
231407,231407
231435,231435
232125,232125
231593,231593
232164,232164
231656,231656
231536,231536
232127,232127
232377,232377
232029,232029
232031,232031
231922,231922
232261,232261
232373,232373
232078,232078
232094,232094
232096,232096
232097,232097
232115,232115
232118,232118
233161,233161
232825,232825
233196,233196
232408,232408
232479,232479
232986,232986
232641,232641
232580,232580
232643,232643
233132,233132
232763,232763
232961,232961
233386,233386
233260,233260
233378,233378
233097,233097
233187,233187
233318,233318
233308,233308
233484,233484
238642,238642
233570,233570
233395,233395
233422,233422
233424,233424
233429,233429
233433,233433
233463,233463
233464,233464
238726,238726
238815,238815
238717,238717
241525,241525
238993,238993
238811,238811
236012,236012
236013,236013
235920,235920
235923,235923
235971,235971
236014,236014
236016,236016
236024,236024
236026,236026
236305,236305
236593,236593
237603,237603
237605,237605
236607,236607
236654,236654
236544,236544
336418,336418
236610,236610
236653,236653
241538,241538
236645,236645
237121,237121
237126,237126
237592,237592
241537,241537
237598,237598
237008,237008
237787,237787
237786,237786
237339,237339
237728,237728
238772,238772
238167,238167
238604,238604
239584,239584
238446,238446
240266,240266
238436,238436
238442,238442
238002,238002
238331,238331
238349,238349
238612,238612
238528,238528
238534,238534
238537,238537
239601,239601
238546,238546
238828,238828
255829,255829
238784,238784
239331,239331
239334,239334
239346,239346
239231,239231
239325,239325
239326,239326
238848,238848
238947,238947
239223,239223
239630,239630
239343,239343
239394,239394
239793,239793
239804,239804
239908,239908
240884,240884
240903,240903
240598,240598
240126,240126
240281,240281
240532,240532
240799,240799
240762,240762
240843,240843
241316,241316
241800,241800
241933,241933
242264,242264
242484,242484
242558,242558
242540,242540
242971,242971
242725,242725
243181,243181
243118,243118
243126,243126
243733,243733
243609,243609
243367,243367
243545,243545
253266,253266
253288,253288
247790,247790
244359,244359
243560,243560
244360,244360
243715,243715
245382,245382
243776,243776
245414,245414
243719,243719
243993,243993
244207,244207
243983,243983
245058,245058
243994,243994
244368,244368
253249,253249
245040,245040
243998,243998
244003,244003
244170,244170
245410,245410
245050,245050
245055,245055
244351,244351
244175,244175
244854,244854
244402,244402
245047,245047
244347,244347
244679,244679
244676,244676
