ids_2014,ids_2015
221082,221082
227605,227605
221216,221216
221517,221517
222113,222113
221863,221863
221875,221875
221864,221864
221957,221957
222202,222202
222438,222438
222439,222439
222441,222441
223034,223034
223025,223025
223388,223388
223651,223651
223910,223910
223892,223892
223879,223879
224344,224344
224836,224836
225022,225022
225018,225018
225019,225019
225285,225285
225629,225629
226358,226358
225915,225915
226040,226040
225868,225868
226706,226706
227415,227415
227422,227422
227746,227746
227748,227748
227764,227764
227573,227573
227559,227559
228040,228040
228716,228716
229048,229048
229405,229405
229749,229749
230838,230838
230842,230842
231156,231156
229899,229899
229894,229894
229902,229902
230446,230446
230433,230433
230466,230466
230720,230720
230727,230727
230732,230732
231222,231222
230583,230583
230871,230871
230873,230873
254973,254973
230801,230801
230981,230981
231002,231002
231004,231004
231377,231377
231378,231378
231380,231380
231435,231435
231536,231536
232127,232127
232377,232377
232029,232029
232031,232031
231922,231922
232261,232261
232373,232373
232115,232115
232118,232118
233161,233161
232825,232825
233196,233196
232643,232643
233386,233386
233378,233378
233308,233308
233484,233484
238642,238642
233570,233570
233395,233395
233422,233422
233424,233424
238717,238717
236012,236012
236016,236016
236024,236024
236026,236026
236305,236305
236607,236607
336418,336418
236653,236653
236645,236645
237121,237121
237126,237126
238604,238604
238446,238446
238436,238436
238442,238442
238002,238002
238349,238349
238528,238528
238534,238534
238537,238537
238546,238546
238784,238784
239331,239331
239334,239334
239346,239346
239231,239231
239325,239325
239326,239326
239223,239223
239630,239630
239394,239394
239908,239908
240884,240884
240126,240126
240532,240532
240843,240843
241316,241316
241800,241800
242540,242540
243181,243181
243118,243118
243126,243126
243609,243609
247790,247790
244359,244359
243560,243560
243715,243715
244207,244207
243983,243983
245058,245058
244368,244368
253249,253249
245040,245040
243998,243998
244170,244170
245055,245055
244175,244175
244854,244854
245047,245047
244860,244860
244541,244541
245302,245302
244954,244954
244792,244792
244793,244793
245655,245655
245656,245656
245810,245810
245815,245815
245821,245821
245523,245523
245697,245697
245692,245692
246456,246456
246461,246461
247160,247160
247165,247165
246799,246799
246682,246682
255092,255092
246795,246795
246798,246798
247816,247816
247818,247818
255091,255091
255112,255112
246998,246998
247313,247313
247282,247282
247809,247809
247198,247198
247979,247979
247855,247855
247690,247690
247692,247692
247974,247974
247694,247694
247667,247667
247671,247671
248047,248047
247774,247774
247939,247939
248165,248165
248077,248077
248474,248474
248698,248698
248380,248380
248598,248598
255042,255042
248108,248108
248434,248434
248459,248459
248375,248375
255077,255077
248747,248747
249565,249565
248982,248982
249072,249072
249143,249143
249976,249976
249823,249823
249510,249510
249545,249545
249721,249721
249622,249622
249830,249830
249979,249979
249981,249981
249988,249988
250543,250543
250550,250550
250901,250901
251807,251807
250650,250650
250671,250671
250710,250710
250804,250804
250858,250858
252029,252029
252030,252030
251180,251180
251493,251493
251494,251494
251838,251838
251659,251659
252005,252005
252026,252026
251473,251473
251481,251481
251483,251483
251492,251492
251619,251619
251624,251624
251625,251625
251634,251634
251848,251848
252421,252421
252820,252820
253001,253001
251933,251933
252828,252828
252832,252832
252833,252833
253003,253003
252999,252999
253000,253000
252076,252076
252305,252305
252306,252306
252184,252184
252298,252298
252303,252303
252791,252791
252803,252803
252616,252616
252666,252666
252756,252756
253047,253047
253054,253054
253618,253618
253619,253619
253174,253174
253831,253831
253883,253883
256612,256612
254198,254198
254884,254884
